NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Trainings und Kommunikationsstrategie. Ansonsten geht es nicht. Das ist kein Tool, was man hinsetzt und dann sagen alle, hurra, endlich haben wir einen Datenkatalog und jetzt lassen uns mal alle damit loslegen. Das Ding wird komplett ignoriert, wenn ich es nicht promote. Das heisst, ich muss kommunizieren, warum es wichtig ist? Die Leute bewegen sich nicht, wenn sie nicht verstehen, warum es wichtig ist. Was ist das Ziel? Was will ich erreichen? Warum soll jetzt jemand hier anfangen, sich in das hunderttausendste Tool einzuarbeiten?",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Man braucht einen Kommunikationsplan und dann eben auch bezogen auf die eigenen Use Cases, Trainings. Klar, wir haben Trainingsmaterial, aber wenn man einfach nur sagt, hier ist Trainingsmaterial, schaut euch das an, macht das ja keiner.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Die müssen verstehen, was das in ihrer Umgebung und für ihren Job bringt? Wie werde ich als Person jetzt produktiver, wenn ich mich darauf einlasse? Und das ist der Key-Success Faktor. Darum ist diese Use-Case-Definition so wichtig. Ich habe den Datenkatalog. Ja und?",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Man braucht Management-Objectives. Wenn keiner ein Objective hat, dass er hier irgendetwas macht, dann wird er es auch nicht tun. Und idealerweise werden auch die wirklich wichtigen Dinge Teil des Bonus-Plans. Man kann nicht immer nur bitte, bitte sagen und lieb und freundlich sein. Das funktioniert nicht. ",Führung und Organisation,Incentivierung ,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"The real challenge I've seen it as is that if sometimes IT wants to do something, but business does not support it, and business wants to do something, but they don't really understand the scope or there is no proper use case. So there are a lot of challenges like that, right? So it's really important to really understand why catalog or enterprise, whatever, it's really relevant.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
3,Experte,Collibra,EDM / EDC Anbieter,But it is really important to understand why. Why do whatever that you want to do and then really understand the use case that you have to align to those business objectives or business imperatives.,Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"So it's really about understand or having a specific problem or a specific use case that you identify in your business and then see, okay, how can I solve this? Not the other way around.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"So it's really important to understand the business, understand the goals, understand the use cases and what you need to get to that use case.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
3,Experte,Collibra,EDM / EDC Anbieter,You don't have a big number of people to do all of these things. You only have a few people. You need to deal with those people the best possible way. And the only way to do that is to show value quickly.,Use Case zentrierte Implementation,Quick wins,,,,
3,Experte,Collibra,EDM / EDC Anbieter,But the point is that it's all about showing value and you need those use cases and what you need to empower those use cases.,Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
3,Experte,Collibra,EDM / EDC Anbieter,The executive leadership support is the only thing that matters.  It's all about executive level support.,Führung und Organisation,Starker Lead,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"They [executive level] will need to, of course, get the teams on board",Funktionierendes Change Management,Change-Management,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"But if you have the executive level support, it will come down the lines of businesses. Imagine your CEO saying, we must get the data program done. That's it. No talking after that, then everybody in their organizations will trickle that down.",Führung und Organisation,Starker Lead,,,,
3,Experte,Collibra,EDM / EDC Anbieter,I would say you need more executive level support and then the bottom level will also come along as well.,Führung und Organisation,Starker Lead,,,,
31,Professor,IT Management,Univesität,"Man muss den strategischen Wert für eine Firma dahinter verstehen. Und es das ist schwierig zu transportieren und all diese Issues, die hast du mit jedem Projekt, das sind typische Change-Management-Issues.",Funktionierendes Change Management,Change-Management,,,,
31,Professor,IT Management,Univesität,"Das sind typische Change-Management-Issues. Wenn dir der Top-Management-Support fehlt, wenn dir die Ressourcen fehlen, wenn du es nicht ordentlich kommunizierst, wenn du die Leute nicht an den richtigen Stellen enablest, dass sie Data-Ownership übernehmen und das dann auch wirklich, gut machen. Aber ich glaube am Ende musst du halt aufzeigen, was die Konsequenzen sind.",Führung und Organisation,Starker Lead,,,,
31,Professor,IT Management,Univesität,Man muss Incentive Systeme für die Mitarbeiter integrieren.,Führung und Organisation,Incentivierung ,,,,
31,Professor,IT Management,Univesität,"Die meisten Menschen funktionieren halt über Incentive Systeme, ne? Wenn ihr jetzt einen Bonus für eine gute Arbeit hier bekommen würdet, würdet ihr vielleicht auch dann die Dinge besser umsetzen, die den Bonus beinflussen.",Führung und Organisation,Incentivierung ,,,,
31,Professor,IT Management,Univesität,Das ist Change-Management. Natürlich brauchst du auch das Sponsorship des Top-Managements.,Funktionierendes Change Management,Change-Management,,,,
31,Professor,IT Management,Univesität,"Du brauchst im Unternehmen am besten den CEO, CIO, COO, die alle sagen, hey, das ist uns wichtig. Das ist ein strategisches, wichtiges Konzept und dass die dafür einstehen. Ja, du musst wahrscheinlich auch die Kultur ein Stück weit ändern bei den Leuten. Du musst sie enablen, dass sie es technologisch auch können. Also es bringt ja nichts, wenn du sagst, ich müsste jetzt so handeln und dann kriegt ihr mehr Geld. Aber wenn sie es einmal nicht können, dann bringt es auch nichts.",Führung und Organisation,Starker Lead,,,,
32,Professor,Information Systems,Univesität,"Wenn ich mir aber von vornherein nicht irgendwie Gedanken mache, hey, was ist denn eigentlich das Problem meines Nutzers und wie diese Daten genutzt werden sollten, dann wird das Ding einfach nicht genutzt.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Die Veränderung hin zu der digitalen Welt oder zu den digitalen Möglichkeiten ist eigentlich keine technische, sondern eigentlich eine kulturelle Herausforderung.  Also man muss das Bewusstsein schaffen für den Nutzen und für die neuen Rollen, die entstehen und das ist unterschiedlich. Oder man hat Nerds und Geeks in den untersten Reihen und man hat solche, die das wirklich verstehen im Management oder auch im Gegenteil. ",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Ich bin überzeugt, dass man grundlegend für diese Möglichkeiten ein Verständnis schaffen muss und es reicht eben nicht, wenn man Mitarbeiter hat, die via ChatGPT ihre Mails schreiben können und behaupten, sie hätten etwas von Digitalisierung oder von AI verstanden, sondern man muss tiefer gehen, man muss den Leuten beibringen, was sind Grundvoraussetzungen, was sind Funktionsweisen, was sind Limitationen und aus dieser Erkenntnis heraus kommt dann auch die Erkenntnis, wie man eben strategisch an diesen Themen arbeiten muss.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Es gibt eben den Bottom-up-Ansatz oder den Opportunistischen Ansatz, wo ich einfach sage, hey, ich habe ein ganz konkretes Problem und ich gehe jetzt einfach mal ans gröbste Problem.",Führung und Organisation,Bottom-up/Top-down,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Die Kunst besteht ja darin, eine langfristige Vision, eine saubere Governance, Definitionen und ein Framework zu haben, wo du das aufsetzen kannst. Faktisch  arbeiten alle in den Organisationen an verschiedenen Ecken und Enden.",Step-by-Step Approach,Disziplinierte Implementierung,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Jetzt sind wir Bottom-up und Top-down und ich glaube, es braucht auf beiden Ebenen auch Ansätze.",Führung und Organisation,Bottom-up/Top-down,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Ein Erfolgsfaktor ist, dass man die Kompetenz überhaupt einkauft oder selber hat, um langfristig das richtig zu machen. Also ich glaube, es braucht das Verständnis, in diese Richtung Entwicklungen zu treiben und dazu braucht es ein Management Commitment.",Führung und Organisation,Starker Lead,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Es braucht auch kleine Erfolge, Leuchtturmprojekte, die man eben aufzeigen kann, weil irgendwann verlierst du die Geduld und die Freude. Also du brauchst du effektiv einfach auch kleine Quick Wins, Showcases, Learnings, wo du eben auch wieder Ressourcen kriegst, wo du Motivation kriegst und wo du einfach Verständnis sammelst für das, was du tust.",Use Case zentrierte Implementation,Quick wins,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Also man kann ja langfristig ausgerichtete Erfolge nur daran messen, welche Teilschritte man erreicht hat und diese Teilschritte sind folglich das, was einem bestätigt, auf dem richtigen Pfad zu sein und trotzdem muss man wahrscheinlich auch die lange Frist immer wieder challengen, man muss nach aussen schauen, es gibt Adaptionen, aber ich glaube, je weiter in der Zukunft das Erfolgsversprechen ist, umso wichtiger sind in den Teilschritten das Verständnis über das, was man erreicht und warum und wie gut man jetzt auf Kurs ist.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Und deshalb brauchst du wahrscheinlich wirklich beides. Du brauchst Personen, die sich damit befassen, wie man grundstrategisch mit Daten arbeiten soll und du musst zulassen, dass andere einfach etwas aus dem Ärmel schütteln.",Führung und Organisation,Starker Lead,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Also ich glaube, ein weiteres Erfolgsmodell von solchen Visionen oder einzelnen Leuchttürmen ist eben auch, dass man grundsätzlich versteht, was man macht. Und da braucht es halt Know-how, da braucht es Spezialistenwissen, da braucht es Schulungen.",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Also ich glaube, es ist die Wahrnehmung in der Entscheidungsebene, sei es der Verwaltungsrat oder die Geschäftsleitung. Dass Daten wichtig sind, um zukünftig überhaupt im Spiel zu bleiben und dass man hier die Hausaufgaben machen muss. Es ist nicht eine strikte Payback- oder ROI Betrachtung.",Führung und Organisation,Starker Lead,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Ich schaue es immer ein bisschen von Data Producer und Data Consumer her an. Ähm das sind eigentlich beides so Change-Management Themen. Das heisst, dass alle mal klar zu regeln haben, wer ist verantwortlich für Datenqualität, wie sehen die Prozesse aus, um das überhaupt messen und optimieren zu können.",Funktionierendes Change Management,Change-Management,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Bei uns hatten wir jetzt wirklich das Glück, dass die Geschäftsleitung sich entschieden hat, dass das die absolute Sache dieses Domain Lead Data Owners ist. Das ist ein wirklich wichtiger Erfolgsfaktor.",Führung und Organisation,Starker Lead,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,Die Führungsstruktur ist immer wichtig. Bei uns wurde der Enterprise Data Catalog und Verantwortlichkeiten rund um Data Assets durch die Geschäftsleitung initiiert und dann liegt der Lead bei GL-1. Also wirklich nah dran der Geschäftsleitung.,Führung und Organisation,Starker Lead,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Bei unserer Muttergesellschaft kam die Initierung für den Data Catalog aus der IT heraus und die kommen immer ein bisschen auf uns zu: «Wie habt ihr das geschafft, dass die Geschäftsleitung das initiiert hat» und so. Die versuchen das auch irgendwie auf die Agenda zu kriegen, weil sie einfach merken, es wird als IT-Projekt wahrgenommen und nicht als Business-Projekt und bei uns wird es wirklich als Business-Projekt wahrgenommen. Das ist ein Riesenvorteil.",Führung und Organisation,Starker Lead,,,,
13,Experte,Starburst,EDM / EDC Anbieter,It's not about Top-Down or Bottom-Up. It usually goes both directions. And it really comes down to who you work with and how do you want to propose it.,Führung und Organisation,Bottom-up/Top-down,,,,
13,Experte,Starburst,EDM / EDC Anbieter,"It's important to understand the nature of the organization and what will work and what won't. I think regardless of whether you start off with one business unit or start with entire enterprises, focusing on a particular problem is always paramount so that you can define what it is and then work towards solving it. So like having a clear success criteria.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
13,Experte,Starburst,EDM / EDC Anbieter,"You need to have both business and technology involved and some sort of a business, some sort of an important initiative in play.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
13,Experte,Starburst,EDM / EDC Anbieter,When dealing with resistance it is important to figure out what is really needed versus what is a want. Then you need to work through a methodical approach of getting it solved so that you realize value rather than work towards something that's not very well defined.,Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
13,Experte,Starburst,EDM / EDC Anbieter,"And for both the companies I work with, we have a standard method for showing both publicly available as well as anonymized stories of customers with the problem that they had, the solution that was proposed and the value that they realized both in terms of the business as well as like knowledge improvements.",Use Case zentrierte Implementation,Quick wins,,,,
13,Experte,Starburst,EDM / EDC Anbieter,It is important to have a defined problem that you're trying to solve and having a defined success criteria.,Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
14,Berater,Globale Beratungsfirma,Beratung,"The way I got their buy-in was that I just showed them the value of the new tool, saying, this is easier to do this here, and then it's here for everyone else to see. And this is how you do the process. So I took them through the process.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
14,Berater,Globale Beratungsfirma,Beratung,"We had individual sessions of onboardings onto the new tool and to the new way of working. And it was just really about convincing them that this is actually easier in the long run and it'll be better for you. Also trying to get them to do it themselves as well, once or twice, so that they get a feel for it.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
14,Berater,Globale Beratungsfirma,Beratung,"To get the buy-in from a more senior level partners and directors have to step in to deal with area leads and people to really convince them that, this is how the regulator looks at it, this is how you can deal with your findings, and this is how you become more audit proof.",Führung und Organisation,Starker Lead,,,,
14,Berater,Globale Beratungsfirma,Beratung,"It's really about seeing what motivates your stakeholders and figuring out whether or not you are meeting those motivations or satisfying those motivations with the solution that you're proposing. If that is the case, then you can convince them and get their buy-in. But if that is not the case, then getting a buy-in is pretty impossible.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
14,Berater,Globale Beratungsfirma,Beratung,"We tackle it in work packages. So instead of coming in and saying that we'll develop an entire Data Catalog, Business Glossary, Data Dictionary and your entire architecture for you, that'll be a 10 million euro project, we take a verry narrow scope and say, okay, let's take a credit risk model. This will maybe be a month or two months long project. And for that, we'll develop it end-to-end and show you the value. And that is how we approach it.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
14,Berater,Globale Beratungsfirma,Beratung,You also need to make sure that everyone's in agreement with the information contained within it. Everyone adheres to it. And that's where a lot of transformation and organization culture and Change-management and the consulting aspect of it comes into play. This is where we play a role and where we add value.,Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
14,Berater,Globale Beratungsfirma,Beratung,"The further up the chain you go, the responsibility is going to be more of a priority setting. Giving these kind of projects the highest priority and enough resources is the only thing that they can do effectively to make this a success.",Step-by-Step Approach,Richtig Priorisieren,,,,
14,Berater,Globale Beratungsfirma,Beratung,"Priority setting and making resources available that's the job of the higher ups, in my opinion. Because if they communicate further down that this is my priority, then that automatically sets the tone for the rest of the organization and if they make resources available, then that really limits the number of excuses that the rest of the organization can give.",Step-by-Step Approach,Richtig Priorisieren,,,,
14,Berater,Globale Beratungsfirma,Beratung,"For the middle level managers it's more about managing people, making sure that everyone feels heard and their concerns, tabling those discussions and bringing the right people to the table. But at the end of the day, it's really about the lower level, not lower level, but more closer to the data analysts and POs and PMs, because they're the ones who will eventually be doing the work.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
14,Berater,Globale Beratungsfirma,Beratung,The middle management need to facilitate that buy-in from the lower levels by making sure that everyone's heard and bringing everyone to the middle ground.,Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
14,Berater,Globale Beratungsfirma,Beratung,At the end of the day it [initiative] needs to make sense to the people on ground because they're the ones dealing with each other.,Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
14,Berater,Globale Beratungsfirma,Beratung,"But that is where the middle management also needs to be really knowledgeable about these things, because if they don't have the required level of data literacy, they won't be able to judge what does the middle ground look like.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
15,Data Manager,IT Services,Externe Firma,"You basically talk to management to say, I'm documenting the enterprise data model, and then I'll go with the catalog. That's the next step. Because once you've designed the enterprise data model, then you need a common system, like Collibra etc. and there are so many other systems in there, right? Then you need to bring it together, because you need one system.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
15,Data Manager,IT Services,Externe Firma,"In order to explain to your sponsors, the management, the board of directors, you got to really draw up a very strong business case.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
15,Data Manager,IT Services,Externe Firma,"You don't have to implement the data model for the whole enterprise, because that itself is a big, very lengthy exercise. Sometimes it's better you say we do it the agile way it's basically we start something slow and scale it over a period of time.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
16,Data Lead,Private Equity,Externe Firma,But the partners are the ones that initiated the project. So they're already on board.,Führung und Organisation,Starker Lead,,,,
16,Data Lead,Private Equity,Externe Firma,So there is also this understanding that you have to create in the company that if they do something that is not written properly then it has an impact at the very end of the chain and on the decision-making side as well.,Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
16,Data Lead,Private Equity,Externe Firma,"I think I'm seeing it as well in the company I'm at at the moment. So the people that were directly engaged in the Power BI development, they are already using it on a daily basis, but then the rest of the company sometimes are asking questions to members of the team about whatever data points that they would like to know about. And in the end it's available freely on the dashboard. So it's just a matter of getting used to it and also having this kind of idea of what could be retrieved from the dashboard directly and knowing that this data might be there and just getting used to it.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
16,Data Lead,Private Equity,Externe Firma,"There is an advocate in the department where the Power BI should be used to really push the usage of the Power BI and to make sure that people are going to use it whenever they ask a question to him that could be answered by the BI. So he would directly redirect them to the tool and explain if you do this, this, and this, then you can have your answer directly yourself and so on.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
16,Data Lead,Private Equity,Externe Firma,I think it takes this kind of learning and training time and it shouldn't be underestimated at least on my opinion.,Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Der beste und einzige Ansatz, den ich gesehen habe, der funktioniert, ist, wenn man von der Business-Seite kommt und man sagt, was wollen wir eigentlich erreichen in den nächsten, sagen wir mal, drei bis vier Jahren und man danach mit einem bestimmten Use Case kommt.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Einen Use Case darum herum bauen, um gewisses Ziel zu erreichen.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,Keine Big Bang Migration. Hat sich alles nicht bewährt.,Step-by-Step Approach,Strukturiertes Vorgehen,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Use case by use case. Und dann könntest du nach drei, vier Monaten sagen, oh, ich habe meinen Fresh Waste reduziert. Und diesen Benefit, den schreibst du eben jetzt dem Gesamtprojekt zugute.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Ich würde einzelne Use Cases machen, dann kannst du auch mehrere Use Cases parallel machen.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Anstatt jetzt einfach 50 Millionen Dollar zu investieren, sagst du, okay, wir machen erst mal einen Use Case.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Wir sind nicht mehr in der Welt, wo wir einfach grosse Anfangsinvestitionen machen müssen, wie zum Beispiel ein neues SAP-System oder so was, oder ein Upgrade, wo ohne das einfach gar nichts geht. Die Zeiten sind vorbei. Wir können im sehr kleinen Environment mit sehr geringen Fixkosten anfangen. Wir müssen aber erstens klare Use-Case definieren, also zum Beispiel sowas wie die Waste Reduction oder viele andere auch.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Alle müsse all-in sein, wo keiner sagen kann, da habe ich keine Ressourcen mehr. Das Management muss das lösen und voll dahinter stehen, das kann nicht von der IT kommen.",Step-by-Step Approach,Richtig Priorisieren,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,Business Unit Heads müssen accountable sein und mit der IT zusammenarbeiten.,Führung und Organisation,Starker Lead,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Es macht überhaupt keinen Sinn, ohne Use Cases anzufangen oder mit einer sehr schwachen Use Case Agenda. Das macht halt keinen Sinn, weil dann ist es sehr schwer zu sagen, worum machen wir das und wo ist eigentlich der Benefit? Das heisst, es ist schon sehr, sehr wichtig, einen Benefit anzusetzen, aber dann andererseits auch zu sagen, das ist, was wir primär machen.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Man kann nicht sagen, wir machen jetzt eine riesige IT-Implementierung, weil irgendwo ein paar Benefits sind.",Step-by-Step Approach,Strukturiertes Vorgehen,,,,
