NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Aber irgendwie ist es so ein bisschen auch gesunder Menschenverstand, dass wenn du sagst, unsere Daten müssen besser sein und Dinge müssen besser funktionieren, dass man nicht gleich dem Narrativ des Vendors verfällt und einfach mal 50 Millionen ausgibt. Das Einzige, was du andersmachst, ist, du packst es in kleinere Parzellen. Du sagst, anstatt jetzt 50  Millionen Dollar einfach zu investieren, sagst du, okay, wir machen erst mal einen Use-Case.",Risiko Implementierung,Finanziell,,,,,
16,Data Lead,Private Equity,Externe Firma,"So basically, I think that maybe historically it was kind of a trade-off between how much it's going to cost and how much it's going to
cost if we don't do anything. But at the moment, how much it's going to cost doing it is getting lower and lower. And how much it's going to cost not doing it, in my opinion at least, is getting larger and larger as well.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"What a lot of firms struggle with when it comes to catalogues is they buy a software solution like a Collibra, and it's sort of a standalone tool that nobody really understands. It sort of sits off to one side. The data governance team or five or six users in the organisation may understand it, but it's not being actively used to drive anything",Risiko Implementierung,Finanziell,,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,Collibra can sometimes overwhelm clients because they've got lots of different features and they can do many different things.,Risiko Implementierung,Kulturell,,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,I would say the cost of doing nothing is very difficult to standardise for anything in terms of information. You're not going to have a good understanding of where your risks are as an organisation and  you're going to have a lot of inconsistency in your data.,Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Und wenn es nicht in den täglichen Prozessen gebraucht werden kann und es die täglichen Prozesse nicht unterstützt, dann ist der Erfolg von einem solchen Tool meistens relativ klein, weil es dann auch oft einen Zusatzaufwand bedeutet, Datenpflege zu machen.",Risiko Implementierung,Kulturell,,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,Risiken sehr Unternehmensstruktur abhängig,Risiko Implementierung,Organisational,,,,,
20,CEO,Beratungsfirma,Beratung,"Ich habe auch bei Collibra gehört, dass es extrem lange dauert, bis sie etwas implementiert haben.",Risiko Implementierung,Kulturell,,,,,
20,CEO,Beratungsfirma,Beratung,"Ich denke aber nicht, dass es ein Anfangs- oder Endpunkt hat, sondern es ist ein Prozess. Es kann gar nie fertig sein. Du musst immer, wenn du ein System am entwickeln bist, nebenzu, deinen Datenkatalog neu definieren. Denn, wenn du sagst, jetzt bin ich fertig, ist dein Datenkatalog, dein Data-Dictionary, nicht mehr up-to-date. Dann hast du die Änderungen verpasst. Das geht nicht.",Risiko Implementierung,Kulturell,,,,,
20,CEO,Beratungsfirma,Beratung,"Aber wenn du wie vermutlich die meisten Firmen deine Daten noch nicht katalogisiert und beschrieben hast, dann bin ich nicht sicher, ob es richtig ist, wenn du mit einem Datenkatalogprojekt anfängst, anstelle von einem MDM-Projekt, wo der Nutzen auch gesehen ist. Weil das Problem ist, wenn du ein Projekt hast, welches eine Million oder mehrere Millionen kostet, und du kannst nur zeigen, der Owner dieser Adressdaten ist der XY, dann hast du dann noch gar nichts erreicht.",Risiko Implementierung,Finanziell,,,,,
20,CEO,Beratungsfirma,Beratung,"So einen Data Catalog aufzubauen ist ein grosser Zeitaufwand. Was machst du automatisiert, was machst du manuell? Was kannst du überhaupt automatisiert machen? Wir haben bei uns einen eigenen Data Catalog aufgebaut, wir haben ein vollständiges Datenmodell, wir haben das auf einer Standartenplattform implementiert. Dort ist die Schwierigkeit zum wieder die Daten zu connecten, also das ganze Harvesting zu machen und dann auch die entsprechenden Ressourcen von den Firmen zu bekommen, um so etwas zu machen. Mit Ressourcen meine ich nicht nur, sind die Leute verfügbar, sondern auch die Zeitdauer, die es braucht, um so etwas zu implementieren. Ich glaube, da sind die Erwartungen zum Teil extrem hoch.",Risiko Implementierung,Kulturell,,,,,
20,CEO,Beratungsfirma,Beratung,"Es ist einfacher mit einem kleinen Teilbereich anzufangen, den du auch intern nutzen kannst, um dafür Werbung zu machen und das auszubauen. Da bist du meiner Meinung nach effizienter, als wenn du sagst, wir fangen jetzt an zu arbeiten und übernächstes Jahr zeigen wir euch ein Datenkatalog. Da denkt jeder, und was habe ich davon, was bringt mir das?",Risiko Implementierung,Kulturell,,,,,
25,Head of Data DACH,IT Consutling,Beratung,"Data Governance geht auch mit Excel aber was passiert, wenn diese Leute weg sind? Da besteht das Risiko, dass Know how verloren geht, wenn es nicht gerade eine gute Dokumentation davon gibt.",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Das Risiko einer Nichtimplemantation zeigt sich auf, wenn wir Data Breaches haben oder die GDPR Compliance nicht erfüllen. Das ist das Offensichtlichste.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"In Bezug auf Telemetrie, da ist es natürlich so, dass einfach der Wettbewerbsdruck ein Treiber ist. Wir müssen uns mit diesen Themen beschäftigen, weil andere tun es auch. Und da werden Themen kommen, perspektivisch, und wenn wir uns damit nicht beschäftigen, dann werden wir es in Zukunft schwer haben. Es ist schwer zu quantifizieren, ich versuche dann immer eine Referenz zu anderen Branchen zu machen, wie bei uns in dem Fall Automobil. Dies dient dazu aufzuzeigen, hey, das ist, was die schon machen, ja, warum machen wir das nicht? Und ich bin mir sicher, dass da auch bei anderen Konzernen Leute drüber nachdenken.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Mir gefällt der Ansatz, dass man zuerst mal ein Data Maturity Assessment macht und sagt es macht erst Sinn einen Data Catalog einzuführen, wenn man eine gewisse Data Maturity erreicht hat. Ansonsten ist die Gefahr, dass du Geld in ein teures Tool investierst, was die Firma garnicht nutzen kann.",Risiko Implementierung,Finanziell,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Ich habe einen sehr guten Kontakt zum CEO von Alation, mit dem ich mittlerweile befreundet bin, wir haben uns schon mal privat getroffen. Es ist für die Catalog Firmen super einfach in Enterprises reinzukommen. Da sellen die sehr, sehr leicht, weil da ihr Preis wieder eher niedrig ist und die alle glauben, dass der Need da ist. Da gibt es aber wirklich dieses grosse Problem, wie bringt man den Data Catalog so integriert, dass er mit möglichst vielen Datenquellen connectet.",Risiko Implementierung,Technisch,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Mir gefällt der Ansatz, dass man zuerst mal ein Data Maturity Assessment macht und sagt es macht erst Sinn einen Data Catalog einzuführen, wenn man eine gewisse Data Maturity erreicht hat. Ansonsten ist die Gefahr, dass du Geld in ein teures Tool investierst, was die Firma garnicht nutzen kann.",Risiko Implementierung,Kulturell,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Und im Endeffekt geht es ja darum, dass ein Data Producer Ownership für seine Datenquelle und meistens auch noch irgendwie den Prozess, die Daten in den Data Lake reinzubringen, übernimmt. Und ich sehe viele, sehr viele Organisationen, die Data Mesh einführen möchten, die genau daran scheitern, dass die Data Producers nicht bereit sind, die Ownerships für diesen Prozess, ihre Daten sammeln und das dann in den Data Lake reinschreiben, zu übernehmen.",Risiko Implementierung,Kulturell,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Alle sehen, dass man einen Data Catalog braucht, aber was ist die Motivation, den zu pflegen und einzuführen? Und interessanterweise, deswegen bin ich jetzt wieder auf den Anfang zurückgekommen, was heisst für dich Enterprise? Weil meine Erfahrung ist, dass es bei kleinen Unternehmen eher einfach ist, weil die nicht so viele Datentöpfe haben, da gibt es nicht so viele Menschen, da kann man leicht an alle Menschen hin. Da funktioniert es noch relativ gut, so einen Data Catalog einzuführen. Wenn wir jetzt über Mittelstand sprechen, da ist meine Erfahrung so, dass viele nicht bereit sind, in einen Data Catalog zu investieren, weil viele Data Catalog-Lösungen nicht billig sind. Da ist oft ein Widerstand, da wirklich rein zu investieren.",Risiko Implementierung,Kulturell,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Wenn man einfach einen Data Catalog kauft besteht das Risiko, dass es einfach versandet, weil es keine klare Definition von Business Value gibt, keine klare Definition und Alignment gibt, dass das eigentlich ein Kulturthema ist, wo HR oder das People Team integriert sein muss, weil man das über die ganze Firma ausbreiten muss.",Risiko Implementierung,Kulturell,,,,,
22,Chief Data Officer,Bank,Externe Firma,"Because if you don't have EDC, you cannot do data quality.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Zu komplex, Leute könnten theoretisch abspringen",Risiko Implementierung,Kulturell,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Muss intern sensibilisieren > Das hat keine Umgaben, wirklich gar nicht. Insofern der weitere Verlauf, viel Marketing, viel irgendwie Lehrveranstaltungen gemacht. Wie nutze ich das, wie kann mir das helfen in meinen Use Cases und so weiter.",Risiko Implementierung,Kulturell,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,Die Prozesse sind elend langsam. Wir haben wirklich grosse Schwierigkeiten hinsichtlich der Transparenz. Die Informationen sind da.,Risiko Implementierung,Technisch,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Das Risiko der Cost of Doing Nothing ist ja heutzutage noch gewisserweise da, weil uns die Skalierung fehlt, wir sind aber nicht mehr so hoch, weil wir ja schon, wie du schon selber gesagt hattest, sehr viel in die richtige Richtung gewerkelt haben. Ich kann es ja nicht jetzt irgendwie in Euro beziffern, aber es ist halt einfach, wie sagt man beim Thema Datenprodukt, sagen wir, die Anforderung von Daten und Freigabe von Daten, teilweise von Wochen zu Stunden. Aber im Durchschnitt kannst du wirklich davon sagen, Daten finden, verstehen, beantragen, verarbeiten, alles hängt irgendwie dran. Du brauchst diese Informationen an einem Ort und alles wird langsamer. Das kannst du jetzt hochrechnen in dem Sinne von Personenkosten mal Tage. Ich glaube, da bist du bei relativ hohen Summen.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
24,Head of Data EMEA,Globale Bank,Externe Firma,"It's a natural resistance, a human natural resistance to new things. Something that we all do. And the first thing is demystifying the tool, debunking the potential challenges.",Risiko Implementierung,Kulturell,,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,The challenge always is the knowledge is very limited within the organization and their time is also very crucial because not necessarily they see the value of the activity that we are doing. So they are a bit hesitant to spend more time on such activities and then you get limited and because of that your quality of the output also gets limited.,Risiko Implementierung,Kulturell,,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,The approach works so the approach is fine the only question is how patient is business because typically all business sponsors typically they invest their money in such projects right so be it the business function or the executive leadership right and if there is no tangible output on production then they start to feel a bit impatient or hesitant and start losing the trust on the team. So in such scenarios when there are big bank implementation the timely involvement of business is very important and the stakeholder management is very important otherwise it's very easy that they will stop the project six months down the line. So that's one of the one of the risk as well yeah that if nothing is going on production lots of issues happening then they will simply stop the project or the initiative.,Risiko Implementierung,Finanziell,,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,One aspect which you can consider there is or which I consider is that if you want your organization to be a data driven and nowadays AI driven decision making organization it is not possible without enterprise data model or enterprise data catalog. So that's the downside you will never fully utilize the power of AI and machine learning for that matter. So that's that's the trade-off you are looking at you can you can always survive so you will end up paying a lot of fees to the data supplier you will not have syndicated analytics or syndicated analysis of your data that loses your business age or the competitive age in the market because you haven't fully thought of all possible scenarios that could happen because your data is not available to you for decision making. So those are the challenges which leadership team and the executives are worried about rather than just the cost benefit because creating a standard report or a report that you produce for regulators can be done in a way that you are currently doing but there you can optimize and make it fully automatic but the content of that is something which is very important for the business that you cannot fully realize if you do not have a proper data model or be that for that matter even I think simple data model or enterprise data model you will not realize the full value of your data and that's the that's like the opportunity cost at one hand and the other side is unnecessary fees that you are paying which is like multiple fees in terms of the data licenses that you are paying for.,Risiko Nicht-Implementierung,AI,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Also vielleicht das Wichtigste voraus, EDM, EDC ist keine kurzfristige Kostenersparnis, damit kann ich nicht den Headcount momentan reduzieren, sondern EDM, EDC braucht Zeit, umso grösser das Unternehmen, umso fragmentierter die IT-Infrastruktur, umso mehr Zeit brauche ich dafür, das heisst, wir reden hier wirklich von Jahren, mehrere Jahre, ein Projekt, um das alles aufzubauen, das kostet man zuerst einfach Geld, viel Geld, dort, wo es dann ums Geld geht und um den ROI ist, dann die langfristigen Kostenersparnis, also was kann ich in 5, 6, 7, 8 Jahren dann fragmentieren und dort geht es dann wirklich zentral darum, was habe ich heute für Support-Teams oder wenn ich dann heute sage, ich muss 20 Tools supporten, jedes Tool braucht 20 Personen für den Support, dann ist es gut möglich, dass ich in Zukunft vielleicht nur noch 5 oder 10 Tools habe",Risiko Implementierung,Finanziell,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Die sind auch wieder eben vielelei, das, was wir schon gesprochen haben, sind die Kosten, weil das kostet einfach mal zuerst viel Geld, das ist immer so, es sind Grossprojekte und meistens ist auch, vor allem beim EDM-Thema, die Challenge, die Entscheidung trifft in der Regel ein Business-User, also jemand, der aus dem Business ist, non-technical person und vor allem den EDM-Case, einen non-technical person zu erklären, das braucht Aufwand, das braucht Education, das braucht auch unheimlich viel Feingefühl, was verstehen die Leute noch und wo ist es zu technisch, weil wenn ich einem Data-Architekten sage, mach mir mal eine Präsentation, warum EDM gut ist, mit dem muss ich nicht zu einem Business-User gehen, der versteht das nicht.Also genau diese Translation hinzukriegen ist unheimlich schwierig.",Risiko Implementierung,Finanziell,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"aber auch da gilt Shit in, Shit out und wenn ich das einfach nicht im Griff habe, dann schmeisst man die AI auch nur Müll hinten wieder raus und das ist ja oft das Problem, oder dass die AI eben gar nicht so gute Resultate liefert, weil einfach das, was drinnen ist, nicht gut ist und da kommt es dann wirklich auf eine gute Datenarchitektur an, gutes Datenmanagement, gute Datenkataloge, dann kann ich deutlich besser auch mit AI arbeiten gehen und das unterschätzen aber auch viele Unternehmen und viele Unternehmen klagen im Moment einfach AI auf alles obendrauf und wundern sich, dass AI dann nicht den Benefit bringt, den man erwartet, weil jetzt wird immer sehr viel versprochen, was AI alles bietet und wenn ich halt eben den Datenkatalog nicht im Griff habe, das Datenmanagement nicht im Griff habe, dann kommt dann halt auch hinten nicht das raus, was ich gebrauchen kann und ich bin da eh teilweise ein bisschen skeptisch",Risiko Implementierung,Technisch,,,,,
31,Professor,IT Management,Universität,"Genau, es sind Designschulden, die du aufnimmst, indem du halt eben keine gute Datenqualität hast, Daten halt eben nicht zentralistisch oder zumindest dezentral, aber systematisch gespeichert hast, indem du irgendwo Fehler im Code hast. Also all diese Sachen, wo du Trade-Off-Entscheidungen machst, ich muss jetzt schnell etwas machen, dafür mache ich es nicht ordentlich. Das führt dazu, dass zukünftige Arbeiten jetzt an der Architektur beispielsweise länger dauern, weil du immer mehr dieser Schulden irgendwo versteckt hast. Und am Ende geht dir halt unglaublich viel Potenzial mit AI, Generative AI, Advantage AI und anderen Aspekten verloren, weil du Daten nicht effektiv nutzen kannst. Weil wir wissen ja alle, diese Systeme lernen von den historischen Daten, die man hat. Und wenn die Datenqualität schlecht ist, dann sind auch die Use Cases und die Modelle, die daraus entstehen, schlecht.",Risiko Nicht-Implementierung,AI,,,,,
31,Professor,IT Management,Universität,"Weiss ich nicht, eine 4, aber ich meine, am Ende ist das, weisst du, das ist Baseline, Architekturgeschäft. Wenn du das nicht hast, kannst du, das ist also eine Necessary Condition. Ohne das geht ganz, ganz viele andere Sachen nicht. Das ist eine Pre-Condition. Für mich muss das jedes Unternehmen machen, das irgendeinen Mehrwert aus Daten ziehen möchte. Spannend, okay.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
31,Professor,IT Management,Universität,"Das ist genau diese technische Schuld, die ich angesprochen habe. Man macht es aus Convenience, weil man Short-Term halt eben da keinen Benefit sieht, weil es halt ein Long-Term Investment ist, das dauert, bis man das aufgebaut hat. Aber am Ende des Tages gehe ich halt in der Spirale immer weiter nach unten und irgendwann bin ich abgehängt. Also so entsteht dann ein Innovators-Dilemma, weisst du, indem man anfängt, die notwendigen Infrastruktur-Investments und als das sehe ich das, nicht zu tätigen. Ich glaube, man muss den strategischen Wert dahinter verstehen für eine Firma. Und es ist schwierig zu transportieren und all diese Issues, die hast du mit jedem Projekt, das sind typische Change-Management-Issues.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
31,Professor,IT Management,Universität,"Ich glaube, wenn es schlecht gemacht ist, führt es zu Frustration. Das sind genau diese Sachen, die alles auf einmal machen wollen. Habe ich jetzt auch schon oft gesehen in Unternehmen, die sich in Spezifikationen verhakeln. Also die sagen, wir müssen jetzt den Data Catalog erstmal schreiben und der muss perfekt sein. It's gonna happen. Also das ist so typisch, sag ich mal, mitteleuropäisches Phänomen. Amerikaner machen das viel pragmatischer. Da gibt es das Motto, there's nothing duct tape can't fix. Also das heisst, die machen mal, die prototypisieren und die testen. Ich glaube, das ist für mich der wichtigste Punkt und aber auch das wichtigste Risiko, dass du daraus ein riesiges Projekt machst, das einfach sequenziell geplant ist und nie fertig wird.",Risiko Implementierung,Kulturell,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Das heisst, ich muss, das ist ja so ein Plattformgedanke, ich muss mindestens so eine minimal kritische Masse an Informationen finden, sonst macht mir das Tool keinen Spass, bringt mir keinen Mehrwert und dann ist es für mich nicht nutzbar, habe ich einmal, vielleicht zweimal probiert und dann lasse ich es.",Risiko Implementierung,Kulturell,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Und das andere eben Masse an Daten, also wirklich dieses habe ich Ressourcen verfügbar, dass ich irgendwie eine kritische Masse an Daten da drin habe, weil wenn ich einmal in den Datenkatalog gehe und drei Abfragen mache und alle Daten, die ich eigentlich abfragen wollte, nicht gefunden habe, dann gehe ich kein zweites Mal zurück. ",Risiko Implementierung,Kulturell,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Also das Wichtigste ist, also es ist ja ein Dokumentationstool und Risiko Nummer eins ist bei allen Dokumentationen, dass du die Daten ab und zu erhalten musst. Also alles, was da drinsteht, muss gepflegt werden. Das heisst, ich muss einen gewissen Anteil an Ressourcen bereithalten, dass diese Pflege der Dokumentation sichergestellt wird, sonst hast du irgendwie einmal das dokumentiert und dann hast du den Snapshot von vor, weiss ich nicht, einem Jahr, aber im Jahr dreht sich die Welt.",Risiko Implementierung,Finanziell,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,Speziell Collibra bedarf einer hohen up front investition,Risiko Implementierung,Finanziell,,,,,
