NR,Rolle,Firma,Typ,Aussage,Cluster,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Es braucht ein Bindeglied zwischen Technologie und Management, weil das Management das Problem nicht abschätzen kann, was jetzt wirklich gebraucht wird, was wirklich jetzt missionskritisch ist und was nicht. Die Technologie hat das andere Problem, also die können das nicht unbedingt, das irgendwie so abzchätzen und zusammenbringen. Und es hat einfach damit zu tun, dass beide nicht die gleiche Sprache sprechen und es ist meistens weniger das Problem von Technologie. Die Tech-Leutemüssen zwar immer irgendwie als Sündenbomben herhalten und kriegen immer den Prügel, aber letztendlich ist es so, dass es wahnsinnig schwierig ist, sozusagen eine Strategie oder bestimmte Probleme auf der Business-Seite in Technologie-Lösungen zu übersetzen, die wirklich ganz genau passen. Also eigentlich müsstest du auf beiden Ebenen der totale Experte sein, um das richtig zu machen. Das ist so das Grundproblem. Und das hat sich insofern verschärft, als dass die Technologie komplexer geworden ist und dass natürlich auch mehr Wettbewerbsdruck entsteht auf der Business-Seite, Dinge mit Technologie zu lösen. Zum Beispiel herrscht heute die Erwartung, dass alles plattformised wird.",Kulturell,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Und jetzt hast du dann halt natürlich ein Data Catalog Problem. Weil du willst ja sagen, ich möchte diese Daten auffindbar machen. Ich möchte diese Daten auch dokumentieren und möchte sie für eine globale Organisation nutzbar machen. Dann hast du wiederum zwei Probleme, die ganz wichtig sind. Das eine ist, wer ist eigentlich der Data Owner? Wer ist eigentlich zuständig für diese Daten? Und das sollte nie IT sein, sondern es sollten immer die Fachleute sein, zum Beispiel die Operators, die sagen, wir sind die Verantwortlichen dafür, dass diese Sensoren sauber sind und dass die Definitionen der Variablen korrekt sind.",Strukturell,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Und was wir eigentlich oft sehen ist, dass technische Unternehmen so wie Accenture oder IBM oder so, die machen es andersrum. Die sagen, pass mal auf, wir müssen jetzt diese 50.000 Sensoren irgendwie alle in ein riesen Datenmodell integrieren. Das kostet jetzt 30 Millionen Dollar, ist in drei Jahren fertig und in drei Jahren erzählen sie auch nochmal zwei Jahre. Und dann in fünf Jahren, hast du zwar irgendein Ding gebaut, aber du hast halt die alten Daten in einem neuen System und das bringt dir erst mal gar nichts. Das heisst, du hast dann auch fünf Jahre verloren.",Operativ,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Also es ist immer sinnvoll, einen Data Catalog zu haben, aber die, ich sage mal, die Intensität der Implementierung, die würde ich mir vorbehalten. Da würde ich mir nicht von irgendeinem Daten-Katalog-Fritzen sagen, jetzt musst du aber auch diese 10.000 Sachen machen und du musst jetzt alles reportieren, du musst jetzt deine gesamten Daten, da höre ich schon mal direkt weg, wenn einer sagt, du musst deine gesamten Daten, weil das stimmt nicht. Du musst die Daten in Harmonie mit den Use-Cases im Prinzip transformieren, ja, aber nicht in diesen Big-Bang-Approaches.",Operativ,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Ich mache also keine Big Bang Migration. Es hat sich nicht bewährt zu sagen, ich mache jetzt mal so einen Big Bang, wo ich erzähle, ab morgen wird alles anders. Das hat alles nie funktioniert.",Operativ,,,,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Aber irgendwie ist es so ein bisschen auch gesunder Menschenverstand, dass wenn du sagst, unsere Daten müssen besser sein und Dinge müssen besser funktionieren, dass man nicht gleich dem Narrativ des Vendors verfällt und einfach mal 50 Millionen ausgibt. Das Einzige, was du andersmachst, ist, du packst es in kleinere Parzellen. Du sagst, anstatt jetzt 50  Millionen Dollar einfach zu investieren, sagst du, okay, wir machen erst mal einen Use-Case.",Operativ,,,,,,,,
16,Data Lead,Private Equity,Externe Firma,"And the thing is that you have contracts with clients that the client team is not necessarily allowed to look at. So it's only the compliance and legal team that can look at it. But at the same time, the client team needs to know how much the client has invested and what. And then you get those data on an ad-hoc basis, basically when you ask the legal team. But this should normally be accessible for the client team, for example. That's a very trivial example it sounds kind of a 2010 problem, but in the end, in 2025, it's still a problem, like having those data silos due to regulations or due to other stuff as well.",Strukturell,,,,,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"What a lot of firms struggle with when it comes to catalogues is they buy a software solution like a Collibra, and it's sort of a standalone tool that nobody really understands. It sort of sits off to one side. The data governance team or five or six users in the organisation may understand it, but it's not being actively used to drive anything.",Kulturell,,,,,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"We talk with our clients about know your data. What have you got? And where is it? And you'd be amazed by how many organisations have no clue about the kind of data that they're handling, where it sits, which applications it sits in.",Strukturell,,,,,,,,
17,Managing Partner,Globale Beratungsfirma,Beratung,"We've got issues with quality or consistency or standardisation, or we don't know what we've got and where we've got it, or we've got a big risk related to privacy, for example, or information security, and again, sometimes that's the symptom. We don't know what we've got and where we've got it, but actually the solution to that is often start with understanding what data you've got and classifying it and using some domain structures to do that. Let's do that in the catalogue.",Strukturell,,,,,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Also die grösste Frage bei der Tool-Implementierung ist, ist es überhaupt nötig? Ist es überhaupt gewohnt und wird es überhaupt gebraucht? Und dort ist der Dialog so wichtig.",Kulturell,,,,,,,,
18,Data Lead,Globale Beratungsfirma,Beratung,"Die Tool-Implementation ist das Einfachste. Das kann man der IT geben, die installieren das in ein paar Wochen und dann läuft das. Aber das Ding zum Fliegen bringen, das ist das Schwierige. Das braucht User Adoption, das braucht Communication, das braucht Trainings.",Kulturell,,,,,,,,
20,CEO,Beratungsfirma,Beratung,"Ich habe auch bei Collibra gehört, dass es extrem lange dauert, bis sie etwas implementiert haben.",Operativ,,,,,,,,
20,CEO,Beratungsfirma,Beratung,"Aber wenn du wie vermutlich die meisten Firmen deine Daten noch nicht katalogisiert und beschrieben hast, dann bin ich nicht sicher, ob es richtig ist, wenn du mit einem Datenkatalogprojekt anfängst, anstelle von einem MDM-Projekt, wo der Nutzen auch gesehen ist. Weil das Problem ist, wenn du ein Projekt hast, welches eine Million oder mehrere Millionen kostet, und du kannst nur zeigen, der Owner dieser Adressdaten ist der XY, dann hast du dann noch gar nichts erreicht.",Strukturell,,,,,,,,
20,CEO,Beratungsfirma,Beratung,"So einen Data Catalog aufzubauen ist ein grosser Zeitaufwand. Was machst du automatisiert, was machst du manuell? Was kannst du überhaupt automatisiert machen? Wir haben bei uns einen eigenen Data Catalog aufgebaut, wir haben ein vollständiges Datenmodell, wir haben das auf einer Standartenplattform implementiert. Dort ist die Schwierigkeit zum wieder die Daten zu connecten, also das ganze Harvesting zu machen und dann auch die entsprechenden Ressourcen von den Firmen zu bekommen, um so etwas zu machen. Mit Ressourcen meine ich nicht nur, sind die Leute verfügbar, sondern auch die Zeitdauer, die es braucht, um so etwas zu implementieren. Ich glaube, da sind die Erwartungen zum Teil extrem hoch.",Operativ,,,,,,,,
20,CEO,Beratungsfirma,Beratung,"Es ist einfacher mit einem kleinen Teilbereich anzufangen, den du auch intern nutzen kannst, um dafür Werbung zu machen und das auszubauen. Da bist du meiner Meinung nach effizienter, als wenn du sagst, wir fangen jetzt an zu arbeiten und übernächstes Jahr zeigen wir euch ein Datenkatalog. Da denkt jeder, und was habe ich davon, was bringt mir das?",Operativ,,,,,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma," Ja, also die grösste Herausforderung ist, das Management zu überzeugen, dass das wichtig ist. Und das dauert meiner Meinung nach sehr lange. Wenn die Entscheidung getroffen ist, dass das gebraucht wird und dass das wichtig ist, dann geht es relativ schnell.",Kulturell,,,,,,,,
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Bevor ich in das Datenteam gewechselt bin, habe ich für ein anderes Unternehmen in Europa Digitaltransformation in Sales und Marketing gemacht und da bin ich immer wieder an diese Grenzen gestossen, das Knowledge Sharing und auch die Bereitschaft, sich mit dem Thema auseinander zu setzen. Die Berührungsängste sind total hoch und das ist wirklich so, man braucht einen Erklärbär.",Kulturell,,,,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Mir gefällt der Ansatz, dass man zuerst mal ein Data Maturity Assessment macht und sagt es macht erst Sinn einen Data Catalog einzuführen, wenn man eine gewisse Data Maturity erreicht hat. Ansonsten ist die Gefahr, dass du Geld in ein teures Tool investierst, was die Firma garnicht nutzen kann.",Strukturell,,,,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Wir konnten den Data Catalog erst wirklich in der gnzen Firma ausrollen nachdem wir einen sehr erfolgreichen Use Case hatten. Aus der Sicht gesehen haben viele Firmen Probleme, Data Catalogs einzuführen, weil was ist die Motivation? Weil viele glauben, dass es ein Wiki ist, wo man nur Sachen dokumentiert und erstmal keinen Wert drüber sieht.",Kulturell,,,,,,,,
5,Data & AI Experte,Beratungsfirma,Beratung,"Das Klassische ist, was mittlerweile hoffentlich viele Firmen kapiert haben, den CEO vor die Firma zu stellen und zu sagen, jetzt machen wir eine Data Governance-Initiative und noch niemand hat davon gehört. Dann gehen alle Mitarbeiter in den Widerstand. Man muss mit verschiedenen Arbeitsgruppen erstmal alle abholen, alle an Bord holen, und dann kann man es global announcen, damit es auch wirklich jeder mitbekommt. Aber dann muss es schon die verschiedenen Champions in allen Bereichen geben.",Kulturell,,,,,,,,
22,Chief Data Officer,Bank,Externe Firma,"All our IT-Infrastructure is mainly outsourced in Avalok. So our challenge was that we were mainly depending on our vendor, not by Collibra. Maybe the challenge is that if you want to customize something, you need to write a lot of code,",Technisch,,,,,,,,
22,Chief Data Officer,Bank,Externe Firma,"Because if you don't have EDC, you cannot do data quality. If you don't have data quality, you cannot do advanced analytics and AI. ",Strukturell,,,,,,,,
22,Chief Data Officer,Bank,Externe Firma,"For example, for a workflow designer, the interface to create a new workflow or customize a workflow is not user-friendly. You need to write code, script. And so you always need to ask Collibra and schedule a coaching session. And so we depend on them.",Technisch,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Die Implementation ist sehr komplex, sodass das Risiko besteht, dass Leute abspringen.",Operativ,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Bei der Implementation ist die Business-, sowie IT-Sicht sehr wichtig. Das macht es eben nicht einfach, weil ich bin aktuell in der IT meines Unternehmens. Die IT ist die IT und deswegen ist es auch durchaus so ein Punkt, dass man sich als ITler letztendlich in der Organisation auch durchboxen muss, dass man halt, weil man ja plötzlich fachliche Fragestellungen hat, weil wir sprechen ja viel über fachliche Datenmodelle als über technische Datenmodelle.",Organisationell,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Nach dem Aufschalten des Catalogs folgte, viel Marketing, viele irgendwie Lehrveranstaltungen. Wie nutze ich das, wie kann mir das helfen in meinen Use Cases und so weiter.",Kulturell,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,Die Adoption ist aber wahnsinnig schwierig. Wahrscheinlich habt ihr das auch überall gehört.,Kulturell,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Und das ist tatsächlich so die Hoffnung, endlich auch ein bisschen breitere Mengen an Menschen im Konzern zu erreichen. Weil letztendlich das Problem ist, gar nicht die einzelnen kleinen Use Cases zu finden und mit denen das umzusetzen. Das haben wir geschafft, aber das zu skalieren, das haben wir bislang nicht geschafft.",Operativ,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Und als ich dann in diesem Datenthema unterwegs war, habe ich zunächst einmal die KI-Einheit in der IT gegründet und aufgebaut. Nur wir wollten KI machen und sind halt immer wieder vor die gleichen Probleme gerannt. So, ey, welche Daten haben wir eigentlich? Wo müssen wir hingreifen? Welche Verantwortlichkeiten haben wir?",Strukturell,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Die Leute haben es ja irgendwann mal konzeptioniert, sie haben es irgendwo mal niedergeschrieben oder so. Aber es liegt komplett verteilt über das Unternehmen. Du musst immer die richtigen Leute finden. Du musst immer das Glück haben, dass die Leute, die du findest, auch gerade die Informationen haben und dich die dann nicht noch mal weiterschicken. Letztendlich hast du so krasse Prozessineffizienzen, was dir wirklich die Kosten deiner Use Cases explodieren lässt. Und ich meine, so ein Time-to-Market, wie man so schön sagt, ich starte meinen Use Case und bin dann irgendwann fertig, ist dann plötzlich dreimal so lang.",Strukturell,,,,,,,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Diese Vorbereitungszeit, bis die Leute tatsächlich mit einem Modell anfangen können, mit den Dashboards beginnen können, mit dem Pre-Processing oder keine Ahnung was für Daten, die verlängert sich so dermassen. Und letztendlich ist es für alle Unternehmen, die halt die Ambition haben, datengetrieben zu werden oder KI verstärkt einzusetzen, eine wahnsinnig grosse Hürde. Ich kann es ja nicht jetzt irgendwie in Euro beziffern, aber die Anforderung und Freigabe von Daten reduziert sich teilweise von Wochen zu Stunden.",Kulturell,,,,,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,So one of the challenges that I faced when I was working as an enterprise data modeler is the availability of the information and resources. That's very crucial when it comes to the business know-how or the subject matter expertise. The know-how or the subject matter expertise was very limited.,Kulturell,,,,,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,So time was also very limited in terms of how much they can spend with me to fully create a data model in a proper way that it reflects 100% truth of the organization from the business point of view or from business value chain point of view.,Operativ,,,,,,,,
7,Data Architect,Versicherungsfirma,Externe Firma,The challenge is always that the knowledge is very limited within the organization and their time is also very crucial because they don't necessarily see the value of the activity that we are doing. So they are a bit hesitant to spend more time on such activities and then you get limited and because of that your quality of the output also gets limited.,Kulturell,,,,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Die Risiken sind auch wieder eben vielelei, das, was wir schon besprochen haben, sind die Kosten, weil das kostet einfach mal zuerst viel Geld, das ist immer so, es sind Grossprojekte. Meistens ist auch vor allem beim EDM-Thema die Challenge, dass die Entscheidung in der Regel ein Business-User trifft, also jemand, der aus dem Business ist, also eine non-technical person. Vor allem den EDM-Case, einer non-technical Person zu erklären, braucht Aufwand, braucht Education, braucht auch unheimlich viel Feingefühl, was verstehen die Leute noch und wo ist es zu technisch, weil wenn ich einem Data-Architekten sage, mach mir mal eine Präsentation, warum EDM gut ist, mit dem muss ich nicht zu einem Business-User gehen, der versteht das nicht. Also genau diese Translation hinzukriegen ist unheimlich schwierig.",Kulturell,,,,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Dann kommen wir zu den technischen Risiken, wir haben alte Applikationen, die nicht kompatibel sein werden, wie gehen wir damit um, müssen wir die dann auch umbauen, können wir die separat ausserhalb laufen lassen, wollen wir das, wollen wir das nicht, das sind auch riesige Diskussionen.",Kulturell,,,,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Das People-Thema ist auch immer relevant, weil wenn ich das umsetze mit den Leuten, die ich habe, checken die auch, dass sie damit potenziell ihren eigenen Job abschaffen. Hole ich nur neue Leute rein, habe ich Resistance, weil es einfach alles Leute von aussen sind und die haben ja eh keine Ahnung, wenn es dann ein bisschen menschlich wird im Ganzen. Was auch unheimlich schwierig ist, ist den Skillset zu finden, um sowas umzusetzen, also vor allem, wenn es um sehr komplexe Unternehmen geht, sehr grosse Unternehmen, regulatorisch getriebene Unternehmen, dann wird es unheimlich kompliziert und wenn es dann noch auf globaler Stufe stattfindet, dann hat man auch irgendwie das Gefühl, 100.000 Leute, die alle ja und dann sagen müssen, das kommt dann noch dazu.",Kulturell,,,,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Generell gesagt haben wir die Risiken in den Bereichen Ressourcenknappheit, Skillknappheit, technische Schwierigkeiten.",Operativ,,,,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Data Ownership, wir gehören am Schluss die Daten, vor allem in Gesellschaften wie unsere, viele Ländergesellschaften, gehört das jetzt in Ländergesellschaften oder sogar dem einzelnen Partner, auch den Kunden oder gehört es in der globalen Entity, das ist highly disputed und dann auch teilweise noch regulatorenabhängig, also das sind auch riesige Diskussionen, die es zu überwinden gibt",Strukturell,,,,,,,,
9,Chief Data Officer,Wirtschaftsprüfung,Beratung,"Data Ownership ist halt auch dahingehend immer etwas gefährlich, weil diese Data Owners haben dann schon viel Verantwortung.  Man kann Data Ownership aber auch auf Gremien verteilen, also je nachdem, was es halt gibt. Klar, für grössere Sachen brauche ich Einzelpersonen, aber das sind ja in der Regel sowieso Executives, die auch heute schon die Verantwortung tragen und wenn die noch eine Verantwortung mehr oder weniger haben, das ist auch weniger relevant. Ich glaube das ist auf Executive Level dann auch nicht so wichtig was die Lohnverhandlung angeht, weil die haben eh schon unheimlich viel Verantwortung.",Kulturell,,,,,,,,
31,Professor,IT Management,Universität,"Ideologie reicht nicht, man benötigt incentives.",Kulturell,,,,,,,,
31,Professor,IT Management,Universität,"Du musst Verantwortung dorthin delegieren, wo am Ende auch die Arbeit getan werden muss. Das muss aber nach oben reported werden und das Reporting muss auch irgendwie einen Einfluss haben. Jetzt für Bonussysteme beispielsweise oder Monetär.",Kulturell,,,,,,,,
31,Professor,IT Management,Universität,"Ich glaube, wenn die Implementation schlecht gemacht ist, führt es zu Frustration. Das sind genau solche Sachen, wenn man alles auf einmal machen will. Das habe ich jetzt auch schon oft gesehen in Unternehmen, die sich in Spezifikationen verhakeln. Also die sagen, wir müssen jetzt den Data Catalog erstmal schreiben und der muss perfekt sein. It's gonna happen. Also das ist so typisch, sag ich mal, mitteleuropäisches Phänomen. Amerikaner machen das viel pragmatischer. Da gibt es das Motto, there's nothing duct tape can't fix. Also das heisst, die machen mal, die prototypisieren und die testen. Ich glaube, das ist für mich der wichtigste Punkt und aber auch das wichtigste Risiko, dass du daraus ein riesiges Projekt machst, das einfach sequenziell geplant ist und nie fertig wird.",Operativ,,,,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Wenn man einen Big Bang machen will und sagt, alle Daten, die es im Unternehmen gibt, will ich da drin haben wird das wahrscheinlich nicht klappen, aber da musst du halt irgendwie so einen smarten Weg finden und da gibt es, glaube ich, nicht den allerbesten Approach, weil das ist blödere Arbeit und Monkey Work macht keiner gern, also dokumentieren die meisten Leute eher weniger als mehr und müssen dazu gezwungen werden und da musst du auch smart überlegen, dass du nicht zu viele Ressourcen verbrennst und irgendwann ja auch der Nutzen gar nicht mehr so hoch ist.",Operativ,,,,,,,,
30,Head of Community,IT Services,EDM / EDC Anbieter,"Am Ende mache ich ja Change Management. Ich stell denen ein Tool hin und ob die da Bock drauf haben, das zu nutzen, entscheiden die und ob sie da irgendwie offen für sind. Also aus meiner Sicht sind so die typischen Erfolgsfaktoren für solche Themen User Training und User Akzeptanz.",Kulturell,,,,,,,,
29,Geschäftsleitung,Collibra,EDM / EDC Anbieter,"If you're a chief financial officer, you need to prove quantifiably the value of your work. And same thing with a chief revenue officer and any C-level function. So if the CDO cops out by saying it's hard, they are not cut out to be an executive.",Kulturell,,,,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"If you jump directly to Data Governance and Data Management you will fall flat on your face because data is not an asset for you. You have not really tested data internally to see if are you ready to provide that service? Do you know what it takes, right? ",Operativ,,,,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"So being in that industry for such a long time, people think, hey, we have been there. Like, why do we have to change? So you have to show, like earlier I was saying, if you don't adapt, embrace these things, you will become irrelevant, insignificant, and be out of existence. So I had to work with the different stakeholders and try to explain and show them the value and get them motivated because it is not a one-person job. It's like everybody has to be on board and they have to work with the same interest and motivation. Otherwise, you know, they say you are as strong as your weakest link, right? All it takes is one person whose still doing it the old way and then you notice something is slowing everything down. So here we had to go through that and explain to people. And then when people appreciate and understand it, they are willing to go 110% in those new initiatives.",Kulturell,,,,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"And again, the value is different for different people. For the steward, the value from having an Enterprise Data Catalog and Collibra is different from their manager, from their executive. So different value points.",Kulturell,,,,,,,,
26,Data Executive,Finanzdienstleistungen,Externe Firma,"Alot of times mostly human beings are resistant to change. But just last month, I saw this line from somebody on the internet. He said, people are not resistant to change. They are resistant to being changed to different things. So you have to really show the greater value. And, you know, this other term, what is in it for me? So everyone from the most junior level role to all the way to the senior executive, the C-suite, they have this question like, why should I do it? What is in it for me? So we had the same thing here. Like, hey, something is working fine because 98% of the time, people don't see the big picture, what they are missing. They are only able to see what is in front of them. So you have to actually try to showcase that and show the value.",Kulturell,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"And then, you know, start working that way rather than saying, oh, let's get a catalog and get everything into that or whatever it is, which is usually how people fail, right? Because I've had conversations with very large, for example, defense organizations where they have these 500 databases.",Operativ,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,It's not about anything. It's about executive level support.,Kulturell,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"Now, the real challenge I've seen it as is that if sometimes IT wants to do something, but business does not support it, and business wants to do something, but they don't really understand the scope or there is no proper use case. So there are a lot of challenges like that, right? So it's really important to really understand why catalog or enterprise, whatever, it's really relevant.",Kulturell,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,You don't have infinite number of resources. You don't have a number of people to do all of these things. You only have a few people. You need to deal with those people the best possible way.,Operativ,,,,,,,,
3,Experte,Collibra,EDM / EDC Anbieter,"When talking about customers it can happen that you'll talk about different numbers. But it's actually not about who is right and who is wrong. It's simply because the definition you're using to measure what a customer is might be different, right? And that is because of the way that your business is functioning. So in order to minimize these kind of problems, you can have a simple thing of definitions, right?",Operativ,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Man braucht eine Kommunikationsstrategie um das Commitment zu erschaffen. Es braucht zwei Dinge, Trainings und Kommunikationsstrategie. Ansonsten geht es nicht. Das ist kein Tool, was man hinsetzt und dann sagen alle, hurra, endlich haben wir einen Datenkatalog und jetzt lassen wir es mal alle loslegen.",Kulturell,,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Über die letzten 30 Jahre, bevor es überhaupt Datenkataloge als Thema gab, wurde wahnsinnig viel Geld  im Bereich Enterprise-Data-Modelling verbrannt. Es wurde rauf und runter modelliert, und eigentlich waren das immer bürokratische Wasserköpfe, Elfenbeinschirme, die wenig Businessmehrwert gezeigt haben, das hatte aber auch natürlich damit zu tun, dass es die Tools nicht gab, und vor allem, dass die Organisationen nicht reif waren, das muss man klar sagen, das heisst also, gerade im Management, sagt jeder, alles ist super, Daten sind wichtig und so weiter, aber dann, wenn es in die konkrete Umsetzung geht, gibt es aus der Historie heraus halt immer wieder viele Zweifel.",Kulturell,,,,,,,,
