NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,
31,Professor,IT Management,Univesität,"Also Begrifflichkeiten, Strukturen. Es ist unternehmensweit konsistent über unterschiedliche Systeme hinweg. Das ist, glaube ich, noch ein riesen Issue für sehr viele Unternehmen.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
31,Professor,IT Management,Univesität,Datenqualität,Verbesserung Datenqualität ,-,,
31,Professor,IT Management,Univesität,Reporting: wo kann ich Daten konsolidieren,Verbesserung für Regulatorik und Compliance,-,,
31,Professor,IT Management,Univesität,wichtig für Strategische Entscheidungsfindung ,Bessere Entscheidungen durch bessere Daten,-,,
31,Professor,IT Management,Univesität,"Und am Ende geht dir halt unglaublich viel Potenzial mit AI, Generative AI, Advantage AI und anderen Aspekten verloren, weil du Daten nicht effektiv nutzen kannst. Weil wir wissen ja alle, diese Systeme lernen von den historischen Daten, die man hat. Und wenn die Datenqualität schlecht ist, dann sind auch die Use Cases und die Modelle, die daraus entstehen, schlecht...

Jeder möchte AI. Aber die wenigsten verstehen, dass du für AI eine gute Datenqualität brauchst.

Und wenn du AI dann wirklich, also diese Agent-AI-Konzepte nutzen möchtest, dass duautonome Agenten innerhalb deines Unternehmens hast, die zwischen Systemen Daten austauschen und dann noch mehr Automatisierungspotenzial heben, dann brauchst du das auch. Und ohne Datenqualität als Basis geht beides nicht",Potenzial für AI,Datenqualität --> Potenzial für AI,,
31,Professor,IT Management,Univesität,Effizienzsteigerung,Reduktion Aufwand,-,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Data Model, also wir haben es immer versucht so intern zu erklären, oder bei Point-to-Point hast du quasi, ja der spricht Deutsch, der Französisch, das heisst du musst Deutsch nach Französischübersetzen, dann Französisch nach Italienisch. Und mit dem Enterprise Data Model etablieren wir Englisch als zentrale Sprache, damit die Systeme austauschen können untereinander.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
2,IT Projektleiter,Detailhandel,Externe Firma,"alle Objekte, also die Metadaten aus dieser GCP-Umgebung primär, quasi automatisch anzubinden, und dann halt mit diesen Data Rollen, diese Data Governance Rollen, also Data Owner, also wer definiert die Daten, wer ist verantwortlich dafür, wer ist der technische Owner, halt diese ganzen Rollen etabliert, und haben danach das auch noch ein bisschen ausgeweitet, und zum Beispiel eingekaufte Daten darin beschrieben,

...dass wir jetzt in der Gruppe für Daten nicht doppelt bezahlen, sondern die meisten eingekauften Daten quasi einmal gekauft, einmal beschrieben, einmal einen Owner
spezifiziert, und dann zentral zur Verfügung gestellt

...Nutzen wurde ersichtlich, dass man sehen konnte dass mehrere Genossenschaften dieselben Daten doppelt eingekauft haben. Diese Mehrfachkäufe waren vorher nicht erkennbar, weil kein zentrales Verzeichnis der vorhandenen Daten existierte. --> dies führte zu unmittelbaren Cash Outs --> das  entdeckst du erst, wenn du mal strukturierte Data-Assets aufnimmst.",Reduktion von Datensilos und Doppelungen ,-,,
2,IT Projektleiter,Detailhandel,Externe Firma,"EDM, glaube ich, wird der Value erst über Zeit spürbar, wenn man dann Änderungen in der Systemarchitektur hat oder wenn man dann quasi ein System austauscht und man nicht mehr die zehn Umsysteme wegen Spaghetti- oder Point-to-Point- Integrationen anfassen muss, sondern sich einfach nur um diese eine Schnittstelle, sei es ein Consumer oder Producer, kümmern muss. ",Reduktion Komplexität ,keine Point to Point Integration,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Durch den Einsatz des Enterprise Data Models kann unser Unternehmen  die Kassensoftware schrittweise pro Filiale aktualisieren, ohne dass nachgelagerte Systeme davon betroffen sind. Die Umsysteme (z. B. Buchhaltung, Reporting) arbeiten weiterhin stabil und müssen nicht auf unterschiedliche Datenformate der alten und neuen Softwareversion angepasst werden. Das erhöht die Betriebssicherheit, reduziert den Integrationsaufwand und verhindert doppelte Entwicklungsarbeit – ein klarer Vorteil in Bezug auf Flexibilität, Skalierbarkeit und Kosten. Umsatz ist ziemlich relevant bei einem Retailer. Da haben wir viele Abhängigkeiten. Das hätte zu Problemen geführt, dass wir diese Schema-Änderungen in
x Umsystemen hätten nachziehen müssen. Je nachdem, wie oft oder wie schnell. Dann hätten sie das merchen müssen.Dieses Merchen der zwei Versionen wird über den Event-Tab gewährleistet. Das ist schon ein konkreter Mehrwert. Ansonsten hätten wir mit Point-to-Point-Integration sehr viele Komplexe lösen müssen.",Systemunabhängige Änderbarkeit von Anwendungen,Systemunabhängige Änderbarkeit von Anwendungen --> Stabile Umsysteme trotz Migration,,
2,IT Projektleiter,Detailhandel,Externe Firma,"haben wir natürlich diese Data-Domains bei uns erarbeitet und auch für jede Data-Domain auch einenOwner. Und da haben wir jetzt Prozesse etabliert mit diesem Domain-Owner, weil bei uns gab es ein GL-Entscheid, dass die Datenqualität gehört zu diesem Lead-Data-Owner. D.h. die sind verantwortlich für die Datenqualität in ihrer Domain.

Da gibt es eine Domain Artikelstammdaten und es gibt eine Domain Filialstammdaten z.B. Und da quasi wir sehen jetzt, wenn irgendwo ein Prozess blockiert ist, weil ich sage jetzt bei einem Artikel stimmt der Preis nicht und so da gibt es also da sehen wir die Anzahl Tickets, die kommen und die sind theoretisch jetzt quantifizierbar. ",Verbesserung Data Governance,klare Verantwortlochkeiten --> Verbesserung Data Governance --> Nachvollziehbarkeit --> effizientere Prozesse (Problembereiche in Prozessen werden identifizierba) ,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Durch saubere und standardisierte Stammdaten kann unser Unternehmen in der Supply Chain effizientere Prozesse realisieren. Fehlerhafte Daten – z. B. falsche Preise, Masse oder Produktcodes – führen zu manuellen Korrekturen, Umwegen in der Lagerung oder Prozessunterbrechungen.",Verbesserung Datenqualität ,Verbesserung Datenqualität --> effizientere Prozesse,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Egerkingen und das ist da, wo sie die ganze Tiefkühlware einlagern, das Zentrallager für die Tiefkühllogistik, das ist minus 22 Grad und die finden natürlich nicht unbedingt viele Leute, die da arbeiten wollen. Das heisst, es ist hochgradig automatisiert und die haben zum Beispiel beim Wareneingang eine Scorecard für die angelieferte Data Quality und die haben gesagt, es gibt so einen Score für jeden Lieferanten, der ist zwischen 70 und 95 Prozent und die haben genau abgestuft, die sagen, je besser die Stammdaten sind bei der Anlieferung, umso automatisierbarer sind die Prozesse hinten dran und die haben das quantifiziert. Die haben gesagt, okay, wir können euch diesen Automatisierungsgrad anbieten, wenn die Stammdatenqualität vorne bei der Anlieferung beim Score von 95 Prozent ist, wenn nicht, haben wir hinten Ineffizienzen, die zu mehr Kosten führen.",Verbesserung Datenqualität ,Verbesserung Datenqualität  --> Automatisierung --> Verbesserung Prozesse ,,
13,Experte,Starburst,EDM / EDC Anbieter,you know where your data is stored,Datenauffindbarkeit,-,,
13,Experte,Starburst,EDM / EDC Anbieter,"assigning business context to it, meaning what it actually is --> Daten bekommen Bedeutung im Geschäftsprozess (wird bspw. nicht einfach eine Nummer angezeigt sondern auch was sie bedeutet, wie sie verwendet wird und wer verantwortlich ist) ",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
13,Experte,Starburst,EDM / EDC Anbieter,focus more on the things that are important and less on the things that are not important,Effizienzssteigerung,-,,
13,Experte,Starburst,EDM / EDC Anbieter,hilft regulatorische Vorgaben und branchenübliche Standards einzuhalten,Verbesserung für Regulatorik und Compliance,-,,
13,Experte,Starburst,EDM / EDC Anbieter,"
is getting access to the data regardless of where it is stored",Accessible (Zugänglichkeit),-,,
13,Experte,Starburst,EDM / EDC Anbieter,"Most large organizations have fragmented teams, technologies, and also data silos.",Reduktion von Datensilos und Doppelungen ,-,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Weil du willst ja sagen, ich möchte diese Daten auffindbar machen. Ich möchte diese Daten auch dokumentieren und möchte sie für eine globale Organisation nutzbar machen.",Datenauffindbarkeit,Findable (Auffindbarkeit) → Accessible (Zugänglichkeit für globale Nutzung),,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Das eine ist, wer ist eigentlich der Data Owner? Wer ist eigentlich zuständig für diese Daten? Und das sollte nie IT sein, sondern es sollten immer die Fachleute sein, zum Beispiel die Operators, die sagen, wir sind die Verantwortlichen dafür, dass diese Sensoren sauber sind und dass die Definitionen der Variablen korrekt sind. Und wir machen dann ein Single Source of Truth Prinzip. Das heißt, diese Daten werden nur einmal so in eine Variable verarbeitet und die wird dann im Data Catalog sozusagen als unique abgespeichert.",Verbesserung Data Governance,Verbesserung Data Governance -> Single Source of Truth -> Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Dann können andere Leute zwar auch Varianten davon kreieren, die müssen aber genau dokumentiert werden. Und das ist heute eher der Fall als früher. Früher war es so, jeder hat sein eigenes Ding gemacht und es ist dann plötzlich ganz viele Versionen desselben Dings mit leicht unterschiedlichen Definitionen. Das hat aber zu massiven Problemen geführt, weil dann geht ein ganzer Report und eine ganze Konsolidierung im Bach runter","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",Gemeinsames Datenverständnis einheitliche  Terminologie & Datenvergleichbarkeit --> Reduktion Fehleranfälligkeit ,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Und dann war es bei den Banken immer so, jedes Mal wenn die was an Regulator reporten mussten, zum Beispiel als die UBS mit der Credit Suisse fusioniert hat, da brauchten die halt dann irgendwie 600, 700 Leute, um die ganzen Reports, die alle nicht zusammengepasst haben, selbst innerhalb der UBS oder innerhalb der Credit Suisse, wegen dieser ganzen verschiedenen Regionen, um das alles regulatorfähig zu machen. --> es musste alles dann händisch nachgearbeitet werden. Und das ist aber jetzt nur ein Beispiel, das ist bei anderen genauso. Und das vermeidest du mit diesem Single Source of Truth Prinzip.",Reduktion Aufwand,Single Source of Truth --> Reduktion Aufwand  (Nachbesserung) ,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Und dafür ist ein Data Catalog sehr wichtig, weil er im Prinzip sagt, hier ist das Offizielle, die offizielle Version und dann kannst du die Governance so gestalten, dass du sagst, entweder
darf niemand eine zweite Variante davon schaffen oder jemand darf nur eine private zweite Variante davon schaffen oder dritte Variante. Oder wenn eine öffentliche Variante geschaffen
wird, muss es so klar dokumentiert werden, was ist was. Das ist eine sehr scharfe Anforderung an die Dokumentation, um genau diese Versionsprobleme zu vermeiden, die so unglaublich teuer sind.",Verbesserung Data Governance,Single Source of Truth -> Verbesserung Data Governance → Reduktion Fehleranfälligkeit  durch Vermeidung teurer Versionsprobleme --> Kostensparnisse,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Data-Katalog sagt jetzt, pass mal auf, wir haben als Data-Katalog einen Auswuchs von Data Governance. Du sagst, wir haben jetzt bestimmte Regeln, wie Dinge definiert und benutzt werden.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Data Cataloging ist eben sehr wichtig, weil du halt eine Stelle brauchst, wo du sagst, ich bilde meine single source of truth irgendwo ab und das hat eine Bedeutung für das Unternehmen. Ja, jetzt machen wir erst mal eine Pause, aber so ganz im Groben ist das so die Situation momentan.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Klare Dokumentierung von allen Data Features und die laufen alle im Data Galop zusammen und keiner darf mehr irgendwas machen jetzt, zumindest am Anfang in einem bestimmten Bereich, ohne das genau dort einzuflicken. Das heißt, du musst dieses Prinzip haben. Mehr brauchst du eigentlich nicht.",Verbesserung Data Governance,bessere Dokumentation --> Verbesserung Data Governance,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Verbessert Überblick: ein Beispiel, wir wollen jetzt irgendwie Fresh Waste reduzieren. Wir wollen weniger, sagen wir mal, so frische Produkte, die verrotten irgendwo haben. Da hast du meinetwegen sowas wie die Coop oder so, die hat jetzt ganz viele Mitglieder und jetzt würdest du sagen, pass mal auf, jetzt kann ich das ja nur so machen, indem ich jetzt in jedem Coop-Laden oder zumindest in einigen Beispielhaften, also so Sample, weiß, wie dort fresh gekauft wird und was die Trends sind und was die Einflussfaktoren sind. Dann würdest du sagen, okay, ich will fresh reduzieren. Dann würdest du sagen, ja, jetzt muss ich erst mal überlegen, wo kommen die ganzen Daten her?",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Bessere Nachvollziehbarkeit → ermöglicht gezielte Prozessverbesserung (Reduktion von Verderb),,
6,Data Manager,Versicherungsfirma,Externe Firma,"Auch wenn es so ultra wichtig ist. Jeder erzählt im Vorstand, wir wollen Daten, wir wollen KI, keine Ahnung was. Aber alle denken an Daten. Wie kriege ich meine Daten für den Use Case zur Verfügung? Aber über Governance redet keiner. Das ist ganz spannend.

„Wir sind in die KI-Use-Cases gegangen […] Wo kriege ich eigentlich die Daten her? […] Haben wir überhaupt die Daten? Und wenn wir die haben, wo liegen die? […] Wer ist denn eigentlich der richtige Ansprechpartner? Wie besorge ich mir die Daten überhaupt?“

Der beschriebene KI-Use Case ist einer der wichtigsten Real-World-Anwendungsfälle für EDCs – denn ohne schnellen Zugang zu relevanten Daten scheitern viele KI-Projekte bereits am Startpunkt.",Accessible (Zugänglichkeit),Accessible (Zugänglichkeit) → Steigerung Business Value (durch Realisierung von KI-Projekten),,
6,Data Manager,Versicherungsfirma,Externe Firma,"Und das alles führte dazu, dass wir gesagt haben, okay, es wäre eigentlich wahrscheinlich ein ganz sinnvoller Aufschlag, hinzugehen und Transparenz in die Daten unserer Unternehmung zu schaffen. Und mit Hilfe dieser Transparenz oder vielleicht auch im Gleichschritt dann halt entsprechend die anderen Themen anzugehen, im Sinne von, okay, wenn wir hier die Transparenz schaffen, dann können wir gleichzeitig auch die Rollen nochmal schärfen. Wir können nochmal die Verantwortung nochmal anschauen",Datenauffindbarkeit,Findable (Auffindbarkeit / Transparenz) → Verbesserung Data Governance (Rollen & Verantwortung),,
6,Data Manager,Versicherungsfirma,Externe Firma,"Priorisierung der Daten: welche Daten haben wir denn eigentlich in unserer Unternehmung? Und das wardann halt letztendlich irgendwann der Punkt, wo wir gesagt haben, okay, wenn wir MasterData machen wollen, dann müssen wir ja im ersten Schritt wissen, welche Daten haben wir denn eigentlich?",Know Your Data (bessere Übersicht) ,-,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Die Freigabe- und Bereitstellungszeit von Daten, z. B. für Dashboards, Analysen oder Datenprodukte, wird massiv verkürzt – von typischerweise mehreren Wochen auf wenige Stunde""",Reduktion Aufwand,Accessible (Zugänglichkeit) → Reduktion Aufwand ,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Also für mich ist es schon eine Art von konzeptuelles Datenmodell, wo ich dann die einzelnen Datenentitäten innerhalb des Hauses mit ihrer Relation in Verbindung bringe […] wo wir dann halt Verantwortlichkeiten haben und vielleicht auch, wo am Ende die Governance und das Data Management aufgehängt ist. -->E DM schafft Struktur und Klarheit über Datenobjekte und ihre Beziehungen. Das ermöglicht Governance, Verantwortlichkeitszuordnung und datenbasierte Steuerung.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Struktur und Klarheit über Beziehungen von Daten --> Nachvollziehbarkeit --> bessere Data Governance ,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Wie willst du Qualität definieren, wenn du nicht weißt, was die Daten fachlich bedeuten sollen? → Ohne semantische Klarheit durch ein EDM und dokumentierten Kontext im EDC ist Datenqualität weder messbar noch steuerbar.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Also die haben natürlich ein Wust an Dokumentation, die dezentral überall liegt und jetzt das erste Mal so im Team zusammen an einer Plattform das alles zusammenkriegen. Also insofern, das ist wirklich ein sehr, sehr geiler Punkt, weil wirklich so die Data Heavy User an der Stelle dann ja wirklich da reingegangen sind und da diesen Mehrwert für sich gespürt haben.",Datenauffindbarkeit,Findable (Auffindbarkeit) → Steigerung Business Value,,
6,Data Manager,Versicherungsfirma,Externe Firma,bessere Greifbarkeit und Auffindbarkeit von Daten durch Datenshop / Data Product ,Datenauffindbarkeit,-,,
6,Data Manager,Versicherungsfirma,Externe Firma,"Das heißt, wir haben ein etabliertes Datenset, welches wir zu einem Datenprodukt weitergebaut haben, welches jetzt exklusiv über die Plattform zur Verfügung steht und bezogen werden kann.",Accessible (Zugänglichkeit),-,,
19,Data Product Owner,Globale Bank,Externe Firma,"...by defining clear structures, rrelationships and ownership, we were able to reduce ambiguidy and discrepancies across systems ",Reduktion von Datensilos und Doppelungen ,klare Verantwortlichkeiten + bessere Übersicht --> Reduktion Silos --> Verbesserung Datenqualität,,
19,Data Product Owner,Globale Bank,Externe Firma,"Better Transperency and traceability: the EDM allows both IT and business stakeholders to understand where data comes from, how it is transformed and how it is consumed ",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
19,Data Product Owner,Globale Bank,Externe Firma,"Alignement between business and IT: the EDM acts as a common language, helping business users to communicate requirements effectively, and enabling IT to build solutions that truly meet those needs ","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",Nachvollziehbarkeit --> Reduktion Aufwand (schnellere Einarbeitung) ,,
19,Data Product Owner,Globale Bank,Externe Firma,Faster onboarding and training: new team members can more easily grasp the companys data landscape through well documented and shared model ,Reduktion Aufwand,-,,
19,Data Product Owner,Globale Bank,Externe Firma,Regulatory compliance: EDM was key to ensuring data consistency and lineage for regulatory reporting ,Verbesserung für Regulatorik und Compliance,Nachvollziehbarkeit von Daten oder Änderungen (Interpretation) → einheitliche Terminologie -->  Regulatorische Konformität,,
19,Data Product Owner,Globale Bank,Externe Firma,"As for EDC, although we did not adopt a full comercial platform we custom built a catalog using Microsoft technologies. Even at the level we saw benefits in terms of data discoverability and centralization of meta data. ",Datenauffindbarkeit,-,,
19,Data Product Owner,Globale Bank,Externe Firma,It especially helped in data governance initiatives like business glossary alignement and critical data element tracking. ,Verbesserung Data Governance,-,,
