NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And it was very, very hardbecause we were trying to do this in Excel. But it was very hard. One is really keeping it updated. Because, you know, as soon as you say one thing and then something changes and it's very hard to keep it updated. Collaborating was almost next to impossible with others. And then publishing it was problematic because you always had changes that are ongoing. So when I stumbled upon Collibra, I was like instantly, you know, my curiosity was, oh, this is a great thing that at least somebody is trying to put all of these pieces together.",Implementierungsgrund,-,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And on top of that, they have a workflow. So not only that you can keep everything centrally, but you can also have, you know, different roles assigned so people can actually contribute and collaborate. And you have a workflow to step it through the process, right? ",Funktionalität Collibra,Berechtigungs- und Zugangskontrollmanagement,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So if they, for example, if they're using a report and that report gives them ability to make decisions, they should be in a position to know what is the data that they're basing their results on, how good the quality of the data is, who owns that data, what are the challenges with that data, if there are any. I feel like, you know, as a data governance team or data management team, we are responsible to make it as transparent to them as possible. And I found Collibra to be one great way to achieve that. ",Funktionalität Collibra,Technische Lineage,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So my idea was to take, for example, a report and then, you know, work with the users of the report, understand, well, before the report was actually going live, understanding every piece of data that's coming into the report, what is the quality of that data? What does that report column mean? Who owns that? If I have any questions around that, who do I go? What system this data is coming from? That is the lineage? How old is this data? My point had been to establish a practice where every report before it can go live, I have all of these things answered and then certify that this has gone through the governance process. ",Use Case,Technische Lineage,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"The second part I also wanted to do was to ensure that we have a mechanism for the users to raise the ability to raise tickets. So, for example, if they see something in the report that they don't agree with, they can question that and then it should go to the data quality team to resolve that.",Use Case,Berechtigungs- und Zugangskontrollmanagement,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"To me, the users don't need to know all the different sources and systems. But somehow the expectation is that they are the ones, because they are the owners, that they would know the quality of the data and any issues that are with that data. So just making them aware, giving them the transparency was my main goal.",Use Case,Data Discovery,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"In my time, I didn't really explore, but you could also take it to another level where sometimes you might have a user group that looks for a data set and they can basically shop for the data set. They can say, okay, I want to get this data from this domain, this data from this domain, and I want it for my three months experiment. So you could provision that and all of those things come very naturally to Libra with this catalog experience. I haven't really used it, but I thought that would be pretty useful, especially for more data-savvy or tech-savvy groups that might be doing some research or they're doing some research around a specific hypothesis that they want to establish or they want to prove something out.",Use Case,Data Marketplace,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So the basic capabilities, if I can explain to you in simple words, think of this as a library. So there's a catalog in the library, which basically lists all the books that are there. So think of Collibra as a catalog where you have accounts of all the data, which are synonymous to books here. And the data may have their, so we have all the metadata in the catalog, right? So you have, okay, this book is in this shelf and it talks about this and it was written by this author. It was published on this date. This is the ISV number. Similarly, Collibra has a catalog of all your data.

And there are two ways to do this. One way is to register in the sense like users can go manually register all the pieces of data and they can provide all the information.",Funktionalität Collibra,Data Discovery,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"Let's say a new book comes into the library. You can provide all the information about the book in the catalog so that every piece of information is captured. The second way to do this is if the system has a way to scan all the shelves and it will automatically populate the catalog and say, okay, on shelf 1.1 I have this and shelf 1.2 I have this. So the second part, which is what is catalog, is where you can actually have the ability to pull or scan everything and explore everything and then put it in the system, put it in the Collibra catalog. ",Funktionalität Collibra,Data Integration Automation,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And then on top of that, you can provide some more manual, I guess, judgment over it. So some of it has like automated capability, so it can scan some of the data and say, okay, well, you know what? This data looks like personal and confidential to me, but I have like 70, 80% confidence on this. Somebody needs to manually go and validate that and it can learn from that. It's like, oh, this is not personal data because it's not a phone number or it's not an address or it's not somebody's name.",Funktionalität Collibra,Datenqualitätsregeln,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So the tool provides the ability to catalog your enterprise data and it can group them in different domains. So I work in insurance, so there's a claims domain, there's an underwriting domain, there's different lines of business. So you can slice and dice in different ways. So every piece of data that is available at different, you can think of as like different genre for a library, you can cut it and slice it that way. So Collibra allows you to do all of those things, whether you want to do it manually.",Funktionalität Collibra,Data Dictionary,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"The first version that came out was if you were able to do it manually, like you can register everything. And then you had, you know, your different roles. So people are able to add on to like they can enrich the metadata with more information.",Funktionalität Collibra,Data Dictionary,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"Also, when you have a new book or new data that comes in, you can send it through the workflow, which is basically send it to your data owner and steward committee and ask them who should own this piece. And is this the right name for it? If this is the right name, what is the correct definition? Because one of the challenges enterprises face is that the same thing is called multiple ways. So you want everybody to be speaking the same language.",Funktionalität Collibra,Business Glossary,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So what Collibra allows you to do is you can ensure that something that is for, let's say, customer, everybody understands what customer means because it's defined. You have an owner because, you know, in a complex organization, customer could be very different people.",Funktionalität Collibra,Business Glossary,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So another thing is to ensure, you know, in different communities, you could have like different terminology. How do you either keep it federated or you can departmentalize it? However you want to implement it, you have the ability to do that. And the other challenges users face sometimes is that they might have two different reports reporting different data with different numbers. Well, same data may be different numbers because they may have different criteria and they may be calling something different. So that's a common problem. And one way to avoid that is to use a common terminology and using that terminology, ensure that every report or every dashboard has a very clear understanding of what are they reporting. What does it mean? And it should not conflict with something else that's already there. So Collibra allows you to do that. ",Funktionalität Collibra,Business Glossary,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And then with some integration with other systems, you could actually achieve a lot of automation in this regard. So you have the ability to also link your business metadata to technical metadata. So then you have the ability to trace the complete lineage and understand how this data has come from source A all the way to this report and along the way all the different hops that it has gone through.",Funktionalität Collibra,Technische Lineage,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And also you have the ability to look at the status or the quality of the data. If you are measuring the quality, if you have the specific rules around. So, for example, you want to make sure that the business rules that you define. So, for example, if there's a date and that date cannot be a future date and this system has future dates. So now you know that there are some issues with this data. What percent of data have that issues? What is acceptable? What is not acceptable?

So you can define your whole data quality strategy around it. But at the end of it, as a data management professional, you need to combine all of that information for a consumer in a format or in a way that is consumable for the owner. So they understand",Funktionalität Collibra,Datenqualitätsregeln,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"But this has like the, you know, there's what I call it, there's like the offense and defense, right? So the defense part is the regulatory part where you need to have these in place so that you can show that your company is compliant with this. You're protecting personal information. You're ensuring that the right, you know, people have access to the right data. But on the other side, the efficiency part is the offense part, right? So if you wanted to be competitive, you want, you know, quick response. You want people to be able to self-serve.",Funktionalität EDM und EDC,Systematische Modellierung von Daten bzw. Data Assets,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"They don't have to be asking like five different departments to answer one simple thing that they can do themselves. So self-serving is to me is very important. With tools like Collibra, that kind of gives the ability to do that.",Use Case,Data Discovery,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"It's become important that we can show we know where our enterprise data lives. And we understand where we have a confidential and secret data. How are we protecting it? Who has access to it? All of this kind of ties together, right? That's a defensive part, which is basically we need to have that for regulation and regulation compliance.",Use Case,Technische Lineage,,,,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So as I was explaining, there's some data quality issues. If you have the ability to know what the root cause is, you're able to find that and solve that quickly, as opposed to figuring out that some report had something wrong. And then it's a more reactive approach.",Use Case,Technische Lineage,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Was sind typische Use Cases? Auf der einen Seite geht es darum, ganz einfach mal aus der technischen Sicht zu beschreiben, was habe ich da für Daten? ",Use Case,Systematische Modellierung von Daten bzw. Data Assets,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Frage: Kann man die Use Cases vom Katalog und von Collibra differenzieren? Kannst du die wichtigsten Use Cases mal beschreiben?
Antwort: Ja, Jein, das ist natürlich genau das Wichtige. Man versucht, dass man in diesem Thema klar umrissene Use Cases gegeneinander abgrenzt, einfach damit man auch etwas hat, worüber man dediziert sprechen kann. Und unten drunter sind die aber alle miteinander vernetzt. Weil unten drunter ist quasi mein Boost an Daten und dann setze ich ja auf diesen Boost an Daten verschiedene Use Cases drauf. ",Funktionalität Collibra,Single Source of Truth,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Technische Datenmodelle reinholen, das kann [mit Collibra] ich hochautomatisiert machen.",Funktionalität Collibra,Data Integration Automation,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann, was ich dann auch typischerweise machen will, ist, dass ich eine Art Terminologie für das Unternehmen definiere. Man nennt das Business Glossary in der Regel. Das heißt also einfach aufschreiben, was ist Umsatz, was ist Kunde und so weiter. Und dann wird es natürlich spannend, dass ich das miteinander vernetzt, dass ich quasi einen Semantik- Layer über meine technischen Daten lege. Dass ich also sage, dieses Feld hier, was XYZ heißt, beschreibt eigentlich die Adresse eines Kunden. Weil das Feld in der Datenbank muss ja gar nicht adressig des Kunden heißen. Das kann ja eben auch wirklich was Kryptisches sein. Das heißt, diese Verständlichkeit für meine Daten zu schaffen, das ist ein ganz wichtiger Use Case.",Funktionalität Collibra,Business Glossary,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,Technische Lineage. Wie laufen meine Daten durchs Unternehmen? Wie wird das mit ETL-Tools wirklich so von einer Datenbank in die andere reingeschoben? Wie wird das mit ETL-Tools wirklich so von einer Datenbank in die andere reingeschoben?,Funktionalität Collibra,Technische Lineage,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann ein weiterer Use Case ist, diese ganzen Informationen, die ja technisch sind, Metadaten und Lineage, zu abstrahieren, dass das auch vielleicht ein, naja, öffentlicher Vorstand, aber halt ein businessorientierter User versteht. Der einfach jetzt wissen will, ich habe da einen Report in der Hand, Sales Report XY. Und woher kommen meine Daten? Kann ich denen vertrauen? Kommen die daher, wo ich sage, die haben auch eine Ahnung davon? Das heißt also, so eine Business-Abstraktion da reinzubringen in diese technischen Themen.",Funktionalität Collibra,Technische Lineage,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann ein typischer Use Case ist auch, relativ neu jetzt, auch mit einem neuen Label versehen, geben tut es das natürlich schon immer, sind Datenprodukte. Das heißt also, dass ich technische Datenartefakte so zusammenhacke, dass sie eben von jedem gefunden und auch verwendet werden können.
Das heißt, dass ich mal bei einem weiteren Use Case, Data Discovery nennt man das gerne, wo finde ich denn überhaupt Daten? Da sind wir natürlich vor allem, jetzt habe ich mal technisch gesprochen, brauche ich da eine Suche, die gut ist, aber halt dann auch eben die, praktisch wieder diese Verlinkung mit diesem semantischen Layer, Business Glossary und so weiter, damit ich mein Bild machen kann. Ich habe jetzt da irgendwie fünf Datenpakete zur Auswahl. Welches ist es, das ich wirklich benutzen will?
",Funktionalität Collibra,Data Discovery,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann Automatisierung von Data Governance Prozessen, auch was ganz, ganz Wichtiges. Wenn ich zum Beispiel Datenzugriff beantrage, wenn ich, soll ich das zu tief oder passt das sowas? Wenn ich also zum Beispiel Datenzugriffe beantragen will oder wenn ich, was ist noch ein typischer Governance Prozess? Fehler melden bei Daten ist natürlich auch was, ein Klassiker. Oder zum Beispiel, wenn ich auch im Modell Erweiterungen beantrage, ich will neue Felder haben oder sowas. Das sind alles so typische Governance Prozesse. Das heißt, und technisch gesprochen, Collibra und halt auch andere Tools, ich rede halt jetzt von Collibra, aber es sind andere Tools dann ähnlich, heißt das Workflow Automatisierung.

Dass du also die Möglichkeit hast, hier Workflows, Prozesse in Workflows zu gießen, hinten dran dann Rollen hast und dann eben je nachdem... Also, dass ich im Prinzip, wenn ich eine Zehn-Mann-Bude habe, dann kann ich natürlich einfach sagen, der macht das, der macht das, der macht das. Das haut natürlich nicht hin bei einem Unternehmen mit 500.000 Leuten. Das heißt, da brauche ich Rollen-Konzepte, wo die Maschine dann automatisch weiß, wenn ich jetzt diese Daten anfrage, dann muss ich das an den routen. Wenn ich andere Daten anfrage, dann muss ich das an den anderen routen....Also, das heißt also, diese Governance-Prozesse zu automatisieren und dabei aber all diese Komplexität natürlich zu beachten.",Use Case,Berechtigungs- und Zugangskontrollmanagement,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Mit Daten muss ich bestimmte Regularien einhalten, wie zum Beispiel EU-AI-Act, EU-Data-Act, solche Dinge. Auch ein typisches Ding, dass ich Policies manage für die Daten, dass ich die da dran hängen kann.",Use Case,Datenqualitätsregeln,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"AI-Governance wird ein großes Thema, wo ich dann auch tracken muss, welche Daten fliegen denn eigentlich rein in meine AI-Use-Cases. Da haben wir dann häufig auch mit unstrukturierten Daten zu tun, weil das der besondere Power von AI-Modellen ist, dass ich da jetzt auch PDF und weiß da drüber, was alles reinkippen kann, was bestimmte technische Herausforderungen wiederum bringt, wo ich dann auch wiederum mit AI-Techniken sowas automatisiert evaluieren kann. Was ist denn da drin in so einem PDF? Und dann eben immer die Frage, sind persönliche Daten drin, sind schützenswerte Daten drin, solche Dinge.",Use Case,Zukünftige AI-Integration,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Funktionalität: Das andere ist dann, dass ich eigentlich Datenqualität messe. Das tue ich typischerweise mit Regeln. Das heißt also irgendwie in SQL oder sowas gescriptete Regeln, die halt einfach aus meinen Datenbanken dann prüfen, ist da da was drinnen. So die primitivste Regel, leer oder nicht leer. Wertebereiche sowas, auch noch sehr primitiv, aber natürlich können Regeln auch komplex sein. Wenn in der Tabelle in dem Feld das und in der das, dann sollte da das und so weiter. Also das ist aber immer noch statisch dann natürlich auch, dass sich Daten über die Zeit in eine komische Richtung ändern. Sowas sollte eine Maschine auch erkennen.

Use Case: Das kann dann entweder ein Datenproblem sein, oder ich habe das mal mit einem Fahrzeughersteller gehabt, die erkennen daran dann zum Beispiel auch Produktionsprobleme, wenn auf einmal ganz komische Daten kommen. Das heißt also, das ist dann nicht mehr ein reines Datenproblem unter Umständen. Dabei ist es dann nicht, ist der Sensor kaputt, oder kommen verbeulte Autos vom Band. Solche Dinge. Und da haben wir natürlich dann die Challenge. Jetzt kann ich natürlich irgendwie, sage ich mal, für ein Feld das immer ganz stark mit Regeln basierend machen, aber jetzt nehmen wir mal so ein Data Lake, wo hier Terabyte von Daten irgendwie reingekippt wurden. Oder auch ich nehme mir an, für jedes Feld irgendwelche Validierungsregeln zu überlegen, weil da mache ich irgendwie mit meinem Unternehmen nichts anderes mehr. Das ist auch immer so eine Challenge bei diesen ganzen Themen. Wie gut will ich sein? Oder wo ist der optimale Punkt? Perfekte Daten sind unbezahlbar, bringt nichts. Ich muss den Sweetspot haben. Wie viel investiere ich in meine Daten? Qualität, Management und so weiter. Ohne, dass mir die Kosten davonlaufen.

Und da gibt es dann natürlich eben, das haben wir dann eben auch in unserem DQ-Tool, andere machen das auch ähnlich, gibt es dann die Möglichkeit, dass ich so Regeln automatisch generiere, so mit Maschinen-Learning-Ansatz, dass ich da einfach ein Data Lake dranstöpsel und dann versucht die Maschine, sinnvolle Regeln, hunderttausende von Regeln, selbst zu produzieren, die ich dann halt fine-tunen kann. Und dann schließt sich ja wieder der Regelkreis. Das eine sind immer diese statischen Betrachtungen.

Wenn irgendwelche Schwellwerte überschritten sind bei der Datenqualität oder bei Datenqualitätsproblemen, dass dann auch Leute automatisch angetriggert werden, dass die was tun. Und da ist natürlich auch die Automatisierung wichtig, weil da kann ich ja nicht das Unternehmen laufen, wem gehört das Datenfeld. Das muss dann auch wieder automatisiert erkennbar sein. Das heißt, dass ich so was wie Data Owner, Data Steward und so weiter im System hinterlege. Als Rollen wieder, nicht als Mensch natürlich. Sonst habe ich ein Problem, wenn der das Unternehmen verlässt",Use Case,Datenqualitätsregeln,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"manche sehen darunter natürlich auch noch den Datenzugriff, das heißt, dass ich tatsächlich auch, wenn einer Daten braucht, den physischen Zugriff, den Durchgriff auf die Daten steuere. Und da habe ich natürlich auch wieder so ein bisschen so ein bisschen, also auf der einen Seite will ich das ja ein Stück weit auch automatisieren, auf der anderen Seite habe ich da natürlich auch die Challenge, jeder darf ja vielleicht Daten ein bisschen anders sehen. Also der eine, der darf die Daten sehen so wie sie sind, der andere darf sie nur maskiert sehen, der dritte darf sie gar nicht sehen. Ist also auch noch mal so ein Thema für sich, an und für sich, die ganze Datenzugriffssteuerung. Und dann natürlich auch, ja, das ganze Thema gesetzliche Einhaltung gesetzlicher Vorgaben, Data Privacy und so.",Use Case,Berechtigungs- und Zugangskontrollmanagement,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Und jetzt vielleicht so ein bisschen, naja, wir haben es mal so gehabt, wie finde ich Daten, da hat man oft so dieses Schlagwort noch, Data Marketplace, das ist so das, was derzeit in aller Munde ist, um halt eben Daten schön konsumierbar zur Verfügung zu stellen. Das könnte man jetzt auch, aber das ist alles nicht so ganz drin scharf, ja, das ist halt auch, da gibt es immer Überlappungen zwischen den Themen.",Use Case,Data Marketplace,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann, technische Lineage ist durchaus auch hier relevant, weil wenn ich sage, das sind so indirekte Effekte dann eher. Wenn ich also weiß, wo meine Daten herkommen und wie sie zusammenlaufen und auch noch Transparenz über diese Transformationsregeln habe, dann kann ich natürlich auch besser die Datenqualität managen, als wenn das alles hier Blackbox ist und ich darauf vertrauen muss, dass die Daten in irgendeiner Tabelle richtig sind.",Funktionalität EDC,Technische Lineage,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann, was man ja auch machen kann, ist, man kann ja auch zum Beispiel dann auch den ganzen Business-Kontext mit abbilden. Welche Prozesse produzieren ein Datenset? Welche Prozesse konsumieren ein Datenset? In welcher Unternehmens-Business-Domain sind die Daten zu Hause? Auch das kann mir helfen, festzustellen, ob jetzt Daten verlässlich sind oder nicht, ohne dass ich jetzt reinschaue. Vorher habe ich einfach nur ein Datenset vor mir, wo ich nichts weiß. Das denke ich sind so die Aspekte, wenn es um Datenfehler Vermeidung geht.",Funktionalität Collibra,Data Dictionary,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Plus natürlich dann auch ein Ding, da sind wir wieder bei der Prozessautomatisierung, dass ich Datenfehler melden kann. In den meisten Unternehmen, wenn ich jetzt einfach irgendwo ein Datenproblem habe, habe ich doch keine Ahnung, wem ich das sagen soll. Aber wenn hintendran eben dann im Katalog diese ganzen Ownerships hinterlegt sind, und dann habe ich vielleicht eben so eine Report-on-Issue-Funktionalität, dann drücke ich da drauf und sage, schau dir mal das an, irgendwas stimmt hier nicht.",Use Case,Berechtigungs- und Zugangskontrollmanagement,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Also wir reden über verschiedene Systeme, weil da muss man genau spezifisch sein. Wir reden nicht darüber, dass derselbe Kunde in einer Tabelle dreimal steht, das ist ja ein Duplikat innerhalb der Tabelle, das kann natürlich ein Datenqualitäts-Tool dann abfackeln. Das andere ist natürlich deutlich komplexer. Was hier möglich ist, ich habe hier zwei Datenbereiche, die vielleicht gar nichts von einer wissen und die pflegen dieselben Daten. Idealerweise lege ich ja einen logischen Layer, also ein logisches Datenmodell im Sinne von Enterprise Data Model, lege ich über die verschiedenen Bereiche und dann kann ich natürlich meine Daten, meine Tabellen darauf mappen. Und wenn ich natürlich dann irgendwo einen logischen Layer habe, wo ich eben Kundendaten speichere, als Beispiel, und dann habe ich in zwei verschiedenen Bereichen festgestellt, dass hier die dort Verantwortlichen wiederum ihre Daten auf dasselbe logische oder konzeptuelle Objekt mappen, dann habe ich, dann kann ich das erkennen.

Ich weiß auch nicht, ob es da irgendwie spezialisierte Tools gibt, die das schon automatisieren oder nicht. Aber das ist sag ich mal so eine Möglichkeit, die ich dann habe. Ich kann natürlich dann auch ich meine so ein Business Glossary ist ja auch eine Art konzeptueller Layer. Auch da wiederum, wenn verschiedene Datenbanken ihre Felder mit denselben Einträgen im Business Glossary verlinken, dann kann ich ja sowas auch abfragen. Das kann ich ja dann feststellen. Einfacher ist es natürlich, sobald ich in einem Data Lake bin. Dann habe ich halt eine Datenbasis vor mir und dann kann ich da so Tools drüberlaufen lassen, die sowas eher mal erkennen. Wenn ich jetzt, sag ich mal, sehr weit entfernt im Unternehmen ähnliche Daten habe, muss man einfach sagen, es ist schwierig. Wenn da nicht sehr extrem konzeptuell Daten modelliert werden, was die wenigsten tun, also theoretisch geht das alle, ist kein Thema.",Funktionalität EDM und EDC,Datenqualitätsregeln,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Täglich irgendwo Datenbreaches. Und wenn ich dann eben auch ganz schnell bin, weil ich die Prozesse automatisiert habe, sowas wieder einzufangen, dann kann ich, also erstens kann ich die Eingriffswahrscheinlichkeit von Daten, von Privacy Security Problemen reduzieren. Und zweitens kann ich auch den Impact reduzieren, wenn es passiert.",Use Case,Datenqualitätsregeln,,,,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Und was dann noch dazu kommt, dann hast du noch so einen Second-Order-Effekt drinnen. Wenn die Data Scientists eben mit weniger Aufwand und schneller sind, Dinge rauszuhauen, dann können die auch mehr machen. Du bist früher am Markt damit und du kannst auch viel mehr tun.",Use Case,Single Source of Truth,,,,,,,
