NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So in some places, it went really fast because the business was
already owning the data somehow, or at least they were more interested. In some cases,
data was under finance, and that's usually a good thing because finance is very diligent
when it comes to data. ",Volle / Restliche Implementierung,"Wenn schon Daten Ownership existiert, geht die Implemntierung schneller und effizienter, besonders erkennbar im Finanzbereich",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"In some countries, there was nothing, and of course, where there was nothing, it was much
more work to start things from the beginning.",Volle / Restliche Implementierung,"Wenn es viel Vorarbeit braucht, da alles von Anfang an gemacht werden muss, ist die Implementierungszeit länger. Dies war so in gweissen Ländern",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So the different maturity curve of each
operating company also had an impact on how fast we could go in that particular operating
company.",Reifegrad ,"Der Reifegrad jeder Firma ist entscheidend, wie schnell ein Tool implementiert werden kann ",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And that's what you have to do. At some point, these things need to be a bit pushed.
Otherwise, by consent, that will never happen.",Pain Point,"Gewisse Prozesse müssen auch ohne Einverständnis von allen durchgeführt werden, sonst kommt man nicht ans Ziel, vor allem nicht in einer angemessenen Zeit ",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So I'm sure if an organization has got a strategic list of things that they need to do, that
needs to be in that list. Because then it's governed, the budgets are there, and also from a
local point of view, there is an understanding that this is happening. So then it needs to be
in the normal run of the financial year.
So the budgets need to be agreed. All kinds of stuff needs to be in place, which is hygiene,
but usually sometimes data tends to be outside.",Budget,"Um Budgets zu berechenn braucht es eine startegische Liste, was es alles braucht, diese müssen bewilligt werden ",
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And the other challenges users face sometimes is that they might have two different reports
reporting different data with different numbers. Well, same data may be different numbers
because they may have different criteria and they may be calling something different. So
that's a common problem.",Pain Point,"Ein häufiges Problem ist, dass es zum Teil zwei unterschiedliche Berichte geben kann, welche sich zwar auf dieselben Daten beziehen, aber Unterschiedliche Zahlen aufweisen, da Begriffe unterschiedlich definiert oder unterschiedliche Kriterien verwendet werden",
11,Experte,Collibra,EDM / EDC Anbieter,"Kommunikationsstrategie, das wird auch immer, also zwei Dinge, Trainings und
Kommunikationsstrategie. Ansonsten geht es nicht. Das ist kein Tool, was man hinsetzt und
dann sagen alle, hurra, endlich haben wir einen Datenkatalog und jetzt lassen wir es mal alle
loslegen.",Pain Point,"Datenatalog macht nicht von Grund aus Spass, man muss Leute einführen",
11,Experte,Collibra,EDM / EDC Anbieter,"Das Ding wird komplett ignoriert, wenn ich es nicht promote.",Pain Point,"Tool wird nicht beachtet, wenn man es nicht vorstellt",
3,Experte,Collibra,EDM / EDC Anbieter,"You don't have a number of people to do all of these things. You only have a few people. You
need to deal with those people the best possible way. And the only way to do that is to show
value quickly.",First Value ,"Auch mit wenigen Leuten, so schnell wie möglich Wert zeigen",
3,Experte,Collibra,EDM / EDC Anbieter,"It's because both of you are right or wrong because the simply that the definition you're using
to measure what a customer is might be different, right? And that is because of the way that
your business is functioning, your business line of business is functioning. So in order to minimize this kind of problems, you can have a simple thing of definitions, right?",Pain Point,"Zum Teil hat man verschiedene Definitionen für das gleiche, muss differenziert werden",
31,Professor,IT Management,Univesität,"Also du musst die Leute wirklich, du musst Verantwortung dorthin delegieren, wo am Ende
auch die Arbeit getan werden muss. Das muss aber nach oben reported werden und das
Reporting muss auch irgendwie einen Einfluss haben. Jetzt für Bonussysteme beispielsweise
oder Monetär.",Pain Point,Verantwortung nicht klar delegiert ,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Ja, das hängt vom Approach ab und es gibt den gesamtheitlichen Approach, wo man
zuerst sagt, ja wir müssen es komplett verstehen und wir müssen Strategie haben und dann
möchten wir die Talente rekrutieren, die das können und dann gehen die Schritt um Schritt
und am Schluss alles stimmt. ",Vorarbeit ,"Je nach Strategie, möchte das Unternehemen, dass de Mitarbeitenden das Tool komplett verstehen und auch eine klare Strategie haben welche Personen sie für die Implementierung brauchen ",
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Die Kunst besteht ja darin, eine langfristige Vision zu haben und eine saubere
Governance und Definitionen und ein Framework, wo du das aufsetzen kannst und faktisch
in den Organisationen arbeiten alle an verschiedenen Ecken und Enden. Das ist sehr
aufwendig, das einzufangen.",Pain Point,"Die Herausforderung ist, eine einheitliche Governance-Struktur mit klaren Definitionen aufzubauen, obwohl in der Organisation dezentral und uneinheitlich gearbeitet wird.",
2,IT Projektleiter,Detailhandel,Externe Firma,"Ja, also die Initiierungskosten sind nicht zu unterschätzen, weil einerseits mal sich
konzeptionell darüber zu einigen, was man machen möchte.",Budget,"Vor Implementierung budget setzen und einigen, was das Ziel ist",
2,IT Projektleiter,Detailhandel,Externe Firma,"Also man muss einen langen Schnauf haben, einen langen Horizont und
wirklich Data als Kernteil der Strategie identifiziert haben, um den Weg zu gehen. Es ist nicht
der einfachste Weg. Der einfachste Weg ist Point to Point Integration. ",Volle / Restliche Implementierung,"Für eine volle Implementierung braucht es Ausdauer, weil es nicht das einfachste Projekt ist, vor allem bei der Vorarbeit ist es wichtig Data als Kernteil der Strategie identifiziert zu haben",
2,IT Projektleiter,Detailhandel,Externe Firma,"wenn ich jetzt quasi das vertreten müsste, den Invest würde ich
nicht versuchen den Payback in den Vordergrund zu stellen.  Also den wirklichen Immediate Return hast du beim Thema Stammdaten, was extrem greifbar ist und so, da bist du sehr kurz,
aber wenn du schaust, was du vorne dran brauchst und dann, was da wirklich die Savings sind,
und das, das dauert.",First Value ,"First Value
 nicht in Vordergrund, das dies Zeit kostet und lange dauern kann",
13,Experte,Starburst,EDM / EDC Anbieter,"And it depends on what the success means for organizations. I spent a considerable
amount of time in getting companies to first value, and like ultimately with governance is
really around identifying and establishing their critical data assets. ",First Value ,"Je nachdem, was für das Unternehmen als erster Erfolg eingestuft wird, ist er schneller erreicht ",
13,Experte,Starburst,EDM / EDC Anbieter,"As I said, there's kind of both aspects, trying to understand it from a technological point of
view, but also managing resistance in a company when dealing with this decision. And as I
said, one of the key criteria in this decision is also the time factor. (Finn)",Zeitaufwand ,"
Zeitaufwand ist elementar, ob die Leute aufs Projekt 
aufspringen oder nicht",
14,Berater,Globale Beratungsfirma,Beratung,"But then there's also the human aspect of it, getting people together, getting people to agree
on all of these things, to come to a point where they're okay with what's being populated in
the data catalog in the first place. That is really where the human aspect of data management
comes in, and a bit of company politics and culture as well. So people might eventually just
drag on the meetings, they might not come to a conclusion at the end of the committee
meeting or any such meeting, so you might not end up populating the data catalog in the first
place.",Pain Point,"Überzeugungsarbeit und Akzeptanz schaffen 
bevor man überhaupt implementieren kann - braucht Zeit  
Die größte Hürde ist, dass menschliche Abstimmungsprozesse und politische Interessen die Befüllung des Datenkatalogs oft blockieren.",
14,Berater,Globale Beratungsfirma,Beratung,"We had individual sessions of onboarding them onto the new tool and the new way of
working. And it was just really about convincing them about, yeah, this is actually easier in
the long run, it'll be better for you. And trying to get them to do it themselves as well, once
or twice, so that they get a feel for it. That helped me get their buy-in. ",Vorarbeit ,"Individuelle Gespräche für einen Onboarding Prozess 
Überzeugungsareit lohnt sich - zeigt Wert zu einem späteren Zeitpunkt ",
14,Berater,Globale Beratungsfirma,Beratung,"So in FSI, as I said, since a lot of it is regulatory driven, a lot of it is just things that
the bank has to do, or else they will have to let go of their license. So in FSI, it's less so, but
we also serve the corporate industry, we also serve the Dutch public sector. And from what I
can see, I definitely understand that this is a concern.",Pain Point,"In nicht-regulatorisch getriebenen Bereichen fehlt oft der zwingende Handlungsdruck, was zu Verzögerungen oder geringer Priorisierung bei wichtigen Dateninitiativen führt.",
14,Berater,Globale Beratungsfirma,Beratung,"It depends on the state of maturity of the client and what they're looking for. So if they're
a big bank, if they're systematic, they're regulated by the ECB, then they probably have a lot
of this sorted already. We just need to go and verify, make sure everything's up and running
and up to the code. If they're a domestic bank, not that significant, not a lot of turnover on
their balance sheet, then they might need to start from scratch and there we might take the
use case approach or if a bank just comes to us and says that, hey, we need the entire
platform, then that's what we serve them.
But yeah, a lot of it depends on the situation of the bank, their data management maturity,
the size of the bank and what the regulator is expecting from them. That's mostly from an FSI
perspective. From a corporate perspective, it's, yeah, I don't have enough experience there,
unfortunately, to be able to comment on it.",Reifegrad ,"Implementierungsaufwand/Zeit ist abhängig von der Reife des Klienten - wie gut ist Strategie erarbeitet - sind Daten sortiert? 

Nicht ausgreifte Unternehmen/Banken, welche alles von Anfang an machen müssen, haben mehr Aufwand - brauchen mehr Zeit. 

",
14,Berater,Globale Beratungsfirma,Beratung,"The answer that I gave previously for the one to two months is facilitated or made
possible by the fact that we as a company have developed our own sort of best practice target
architectures as well. Which is why we have something to fall back on, so we're not starting
from scratch. Which is why we can come up with something quickly. Like we already have a target
architecture in mind.",Vorarbeit ,"Unternehmen hat bereits seine Best Practice Zielarchitetktur, deshalb braucheten sie nur 1-2 Moante für die Implementierung und nicht mehrere Monate bis Jahre ",
15,Data Manager,IT Services,Externe Firma,"Implementation costs are probably on average probably two or three times, even five times
of the license cost of a year. You do all that one.",Budget,Budget Implementierung 2-5x Lizenzkosten pro Jahr,
15,Data Manager,IT Services,Externe Firma," Then you draw up to say, that's the figure for
particular use case, that many use case and you're trying to save enterprise that much. Because often most of this department have forecasted they need more manpower. They're
struggling. Why they can't service something today.",Pain Point,"Oftmals braucht es mehr Humankapital als beim Use case, es braucht länger als gedacht",
15,Data Manager,IT Services,Externe Firma,"Let's improve the tool. So those are the only companies. You look at any of the, I haven't seen
in my 25 years of career that any of the tools have been implemented because somebody just
wants to try whether the tool will be successful or not.",Pain Point,Implementierungsaufwand zu hoch um das Tool einfach mal auszuprobieren,
16,Data Lead,Private Equity,Externe Firma,"And this started with asking every single person in the company what they were using, what
were the data sources that they had, what processes they were having in-house on the data,
so where does it come from, how do you change it, or what do you do with those data, how
do you package it into, I don't know, a PowerPoint or another report or even an Excel sheet
where you compute stuff and everything. So it was mainly getting all the information about
that and then understanding where we had duplicates, where we had data silos or stuff like
that. So we also have like, we are regulated by the FINMA, so this has a lot of implications.",Vorarbeit ,"Status quo in der Firma schaffen - wo sind Doublikate, welche Prozesse ind aktuell am laufen etc. ",
16,Data Lead,Private Equity,Externe Firma,"And the thing is that you have contracts with clients that the client team is not necessarily
allowed to look at. So it's only the compliance and legal team that can look at it. But at the
same time, the client team needs to know how much the client has invested and what.
And then you get those data on an ad hoc basis, basically when you ask the legal team. But
this should normally be accessible for the client team, for example. That's a very trivial
example, but it's kind of the, it sounds kind of a, I don't know, 2010 problem, but in the end,
in 2025, it's still a problem, like having those data silos due to regulations or due to other stuff
as well.",Pain Point,"Die Herausforderung ist, regulatorisch bedingte Datensilos aufzulösen, ohne Sicherheits- oder Compliance-Vorgaben zu verletzen",
16,Data Lead,Private Equity,Externe Firma,"So there are a lot of improvements to do, but at least it's a first tool that they can
use and that can already improve their way of working and also serve as a marketing tool, I
would say.",Weiterentwicklung nach der Implementierung ,Auch nach der Implementierung immernoch Verbesserungen notwenig - iterativer Prozess ,
16,Data Lead,Private Equity,Externe Firma,"What could go a bit, what is a bit more difficult sometimes is that, you know, especially in
finance, but I would say maybe there are other industries that are the same, but they have a
strong bond to Excel. And they also have the way of thinking of Excel, which is that I can access
whenever I want a specific row, column combination. So if I want 832, then I can have 832
number.",Pain Point,"Die Herausforderung ist, dass die Excel-geprägte Denkweise vielen den Umstieg auf strukturierte, kontrollierte Datensysteme erschwert",
16,Data Lead,Private Equity,Externe Firma,"Yeah, sure, sure. So I think when I arrived, they already had kind of the database or let's
say an Excel table, I would say, more than a database because they had already the columns
that they wanted to visualize. They had an idea of what they would put where and kind of a
vision of what the dashboard will be used for and for who as well and who will use it and
everything.",Vorarbeit ,"Es wurde schon Vorarbeit geleistet: 
Es existiert eine Datenbasis und auch schon eine Strategie wie sie es 
visualisieren möchten",
16,Data Lead,Private Equity,Externe Firma,"So I think it takes this kind of learning and training time and it
shouldn't be underestimated at least on my opinion.",Volle / Restliche Implementierung,"Es braucht Angewöhnungszeit ans neue Tool, darf nicht unterschätzt werden ",
4,Senior Partner,Globale Beratungsfirma,Beratung,"Und jetzt hast du dann halt natürlich ein Data Catalog Problem. Weil du willst ja sagen, ich
möchte diese Daten auffindbar machen. Ich möchte diese Daten auch dokumentieren und
möchte sie für eine globale Organisation nutzbar machen.
Dann hast du wiederum zwei Probleme, die ganz wichtig sind. Das eine ist, wer ist eigentlich
der Data Owner? Wer ist eigentlich zuständig für diese Daten?
Und das sollte nie IT sein, sondern es sollten immer die Fachleute sein, zum Beispiel die
Operators, die sagen, wir sind die Verantwortlichen dafür, dass diese Sensoren sauber sind
und dass die Definitionen der Variablen korrekt sind.",Pain Point,"Ein zentraler Engpass ist die fehlende fachliche Datenverantwortung – ohne klar benannte Data Owner aus dem Fachbereich bleibt der Datenkatalog unvollständig, unzuverlässig und schwer nutzbar",
17,Managing Partner,Globale Beratungsfirma,Beratung,"And if, you know, you probably have to make a few tweaks
to your processes and maybe think about your user roles, who's responsible for it, and okay,
so let's make some tweaks after the pilot, then we move on to the next one. So that kind of
solving individual problems one by one, using the combination of the technology, but also the
people process governance that needs to sit around it Yeah, yeah.",Weiterentwicklung nach der Implementierung ,"Iterativer Prozess, Anpassungen wenn noch nicht ganz erfolgreich",
17,Managing Partner,Globale Beratungsfirma,Beratung,"And where is it? And you'd be amazed by how many organisations have no clue about the
kind of data that they're handling, where it sits, which applications it sits in.",Pain Point,Viele Unternehmen haben keine Ahnung von ihre Daten ,
17,Managing Partner,Globale Beratungsfirma,Beratung,"We've got issues with quality or consistency or standardisation, or we don't know what we've
got and where we've got it, or we've got a big risk related to privacy, for example, or
information security, and again, sometimes that's the symptom. We don't know what we've
got and where we've got it, but actually the solution to that is often start with understanding
what data you've got and classifying it and using some domain structures to do that. Let's do
that in the catalogue.",Pain Point,"Unternehmen wissen oft nicht, welche Daten sie haben und wo sie liegen.
Das führt zu Problemen bei Qualität, Standardisierung und Datenschutz.
Ohne klare Datenübersicht steigen Risiken und der Aufwand für Kontrolle.",
18,Data Lead,Globale Beratungsfirma,Beratung,"Das kann man der IT geben, die installieren das in ein paar Wochen und dann läuft das. Aber
das Ding zum Fliegen bringen, das ist das Schwierige. Das braucht User Adoption, das braucht
Communication, das braucht Trainings.",Volle / Restliche Implementierung,"Implementierung in ein paar Wochen gemacht aber es braucht Anpassung, Trainings und Kommunikation um es am laufen zu halten",
18,Data Lead,Globale Beratungsfirma,Beratung,"Und während dem Onboarding kostet das eben ein Tool, konstant. Und wenn man es dann
nicht zum Fliegen bringt, weil es einfach nicht gebraucht wird, dann lohnt es sich einfach nicht,
das zu machen.",Budget,Wärend der Implementierung ständig mit Kosten rechnen,
18,Data Lead,Globale Beratungsfirma,Beratung,"Und wenn es nicht in den täglichen Prozessen gebraucht werden kann und es die täglichen Prozesse nicht
unterstützt, dann ist meistens der Erfolg von einem solchen Tool relativ klein, weil es oft dann
auch vielleicht einen Zusatzaufwand bedeutet, Datenpflege zu machen.",Pain Point,"Negativbeispiel - wenn das Tool nicht täglich gebraucht wird, dann ist Zusatzaufwand für Datenpflege zu gross, muss vorher klar sein",
18,Data Lead,Globale Beratungsfirma,Beratung,"Also in der Regel bei uns beginnt es mit einem Sounding. Da kommt dann einer mit einer
Idee. Das kann aus der IT kommen, das kann aus irgendwoher kommen und das wird dann
mal zusammen in einem Board, in einem Sounding-Board besprochen. Das Sounding-Board
besteht natürlich aus dem, der die Idee bringt, dann besteht es aus unserem Chief Technology
Officer, der quasi die Technologie vertritt, unser Chief Information Officer, der die IT vertritt
und dann noch Vertreter aus dem Business, also quasi Leute, die auf der Business-Seite
stehen, das Business verstehen, aber auch oft schon mit Technologie-Seite
zusammengearbeitet haben.",Vorarbeit ,"Vor der Implementierung wird ein Sounding gemacht, mit Leuten aus der Bsusinessseite, können aber auch aus der IT kommen",
18,Data Lead,Globale Beratungsfirma,Beratung,"Das sind meistens Mittelmanagementfunktionen und Topmanagementfunktionen, die da
besprechen. Und dort ist es nicht so schlimm, weil, ja, die sind teuer, aber die sind für das da.
Sobald du eine Projektorganisation aufbaust, die eine Umsetzung macht, kostet das viel mehr,
weil eine Projektorganisation am Laufen zu halten, ist einfach teuer.
Und dort geht es in die Umsetzung, was mal umgesetzt ist und wieder neu gebaut werden
muss, ist teuer. Das heisst, man macht sich lieber zuerst gut Gedanken darum, klärt die Politik
ab, bevor man ein Projekt startet und legt dann los. Wenn das Projekt startet und die Politik
erst dann in Schwung kommt, ist es meistens nicht das Optimale für den Nahtgang.",Vorarbeit ,"Zuerst gute Vorarbeit leisten - alles was wiederrholt werden muss, ist aufwändig und teuer ",
20,CEO,Beratungsfirma,Beratung,"Das heisst, was passiert in einem Start Procedure, wenn du starten möchtest,
transformieren, da können ja tausende von Linien auf Code sein, die extrem viele
Informationen drin haben, das ist aber sehr, sehr schwierig, um zu diesen Informationen zu
kommen. Und dort, finde ich, sind wirklich Schwierigkeiten.
LJ: Das sind Schwierigkeiten, von der Implementierung her, oder?
Nicht nur von der Implementierung, du musst Tools dazu haben, die ein Start Procedure
lesen können, ein Oracle Package lesen können, andere Daten lesen können, wo Daten
transformiert werden, die müssen die Logik interpretieren können, und, und, und, und dann
vielleicht auch noch die Lineage abbilden dazu. ",Pain Point,"Die technische Komplexität und fehlende geeignete Tools erschweren es massiv, Transformationslogiken aus Start Procedures, Oracle Packages oder anderen Systemen auszulesen und nachvollziehbar zu dokumentieren",
20,CEO,Beratungsfirma,Beratung,"Das Problem ist nicht nur, dass es stehen bleibt, der Nutzen ist dann auch nicht dort. Du
kannst die Informationen alle sammeln, das ist eine Fliessarbeit, aber die Frage ist, was ist der
Nutzen des Ganzen? Was bringt es, wenn du all die Informationen hast? ",Pain Point,"Wenn man versucht alles zusammen zu Implementieren, verrennt man sich und das Projekt bleibt stehen, dann  sieht man den Nutzen nicht mehr 
",
20,CEO,Beratungsfirma,Beratung,"Wie bildest du das ab? Und da gibt es auch Tools dazu, die das machen, aber auch dort ist
wieder eine relativ hohe Komplexität, um das dann wirklich durchgehend abzubilden. Also ich
glaube wirklich, die grosse Schwierigkeit ist die Durchgängigkeit, dass du alles machen kannst.",Pain Point,"Der Prozess ist zu komplex, dass alles gleichzeitig gemacht werden kann",
20,CEO,Beratungsfirma,Beratung,"Also gerade wenn du jetzt Collibra nimmst als Marktführer, in diesem Bereich, auch dort habe
ich von verschiedensten Firmen schon gehört, die brauchen extrem lange, bis sie etwas
implementiert haben.",Volle / Restliche Implementierung,Auch Collibra braucht extrem lange bis sie so etwas omplementiert haben,
20,CEO,Beratungsfirma,Beratung,"Was machst du automatisiert, was machst du manuell? Was kannst du überhaupt
automatisiert machen? Wir, also XXX, haben unseren eigenen Data Catalog aufgebaut, wir
haben ein vollständiges Datenmodell, wir haben das auf einer Standartenplattform
implementiert.
Dort ist die Schwierigkeit zum wieder die Daten zu connecten, also das ganze Harvesting zu
machen und dann auch die entsprechenden Ressourcen von den Firmen zu bekommen, um
so etwas zu machen. Respektive auch dort, die Ressourcen sind nicht nur die Leute verfügbar,
sondern auch die Zeitdauer, die es braucht, um so etwas zu implementieren. Ich glaube, da
sind die Erwartungen zum Teil extrem hoch.",Pain Point,"Automatisierung stösst an Grenzen, weil es schwierig ist, die nötigen Datenquellen anzubinden und gleichzeitig ausreichend qualifizierte Ressourcen mit genügend Zeit aus den Fachbereichen bereitzustellen – bei oft unrealistisch hohen Erwartungen",
20,CEO,Beratungsfirma,Beratung,"Oder nachführen. Du bist ständig am aktualisieren. Du kannst nicht sagen, ich fange hier an
und dann bin ich fertig.
Denn, wenn du sagst, jetzt bin ich fertig, ist dein Datenkatalog, dein Data-Dictionary, nicht
mehr up-to-date. Dann hast du die Änderungen verpasst. Das geht nicht.",Weiterentwicklung nach der Implementierung ,"Auch nach der Implementierung muss ständig aktualisiert werden, sonst verpasst man wichtige Änderungen und bleibt stehen",
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Ja, also die größte Herausforderung ist, das Management zu überzeugen, dass das wichtig
ist. Und das dauert meiner Meinung nach sehr lange. Wenn die Entscheidung getroffen ist,
dass das gebraucht wird und dass das wichtig ist, dann geht es relativ schnell.",Pain Point,"EDC: lange Überzeugungsarbeit beim Management, implementiert ist dann schnell",
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Also bei Informatika, da hat es bei Databricks, die Integration ist super, das dauert zwei
Wochen, da kann man sich das anschauen. Die technische Komponente ist nicht das Thema,
sondern das zu verankern im Management, dass das wichtig ist und dass das gebraucht wird
und warum und denen zu erklären, warum das wichtig ist. Also das ist die generelle
Digitaltransformationsproblematik, würde ich sagen.",Pain Point,"Verankerung im Management ist die Schwierigkeit bereits vor der Implementierung und Einführung, die Wichtigkeit wird oft nicht gesehen - Datentransformationsproblematik",
21,Senior Datra Product Manger,Agrarindustrie,Externe Firma,"Ja, absolut nur. Bevor ich in das Datenteam gewechselt bin, habe ich für Fendt Europa
Digitaltransformation in Sales und Marketing gemacht und da bin ich immer wieder an diese
Grenzen gestoßen, das Knowledge Sharing und auch die Bereitschaft, sich mit dem Thema
auseinander zu setzen. Die Berührungsängste sind total hoch und das ist wirklich so, man
braucht einen Erklärbär.",Pain Point,"Leute haben von Grund aus Berührungsängst mit dem Thema, der Wissenstandard und die Bereitschaft sich mit dem Thema auseinanderzusetzen ist sehr tief, es braucht eine Person welche alles erklären kann",
22,Chief Data Officer,Bank,Externe Firma,"Isn't that you need to watch as a whole because if you
don't have EDC, you cannot do data quality.
If you don't have data quality, you cannot do advanced analytics and AI. ",Pain Point,Ohne grundlegende Bausteine wie einen Data Catalog (EDC) und gesicherte Datenqualität fehlt die Basis – fortgeschrittene Analysen und KI sind damit kaum umsetzbar,
22,Chief Data Officer,Bank,Externe Firma,But after it's ongoing work.,Weiterentwicklung nach der Implementierung ,-,
6,Data Manager,Versicherungsfirma,Externe Firma,Die Adoption ist aber wahnsinnig schwierig. Wahrscheinlich habt ihr das auch überall gehört.,Volle / Restliche Implementierung,Implementierung ist sehr anspruchsvoll,
6,Data Manager,Versicherungsfirma,Externe Firma,"Und als
ich dann in diesem Datenthema unterwegs war, ich habe zunächst einmal die KI-Einheit in der
IT gegründet und aufgebaut. Nur wir wollten KI machen und sind halt immer wieder vor die
gleichen Probleme gerannt.
So, ey, welche Daten haben wir eigentlich? Wo müssen wir hingreifen? Welche
Verantwortlichkeiten haben wir?",Pain Point,Wissen über Daten und Verantwortlichkeiten fehlen,
6,Data Manager,Versicherungsfirma,Externe Firma,"Sobald du Qualitätskriterien hinterlegt hast, sobald klar ist, wer dafür verantwortlich ist,
sobald die Definitionen der Attribute und der Fachlichkeiten drin ist, sobald SLAs existieren,
die dir sagen, was kannst du denn eigentlich erwarten, wenn du dieses Produkt konsumierst.
Und vieles mehr. Vieles an Data Governance Themen, die man erst mal so relativ abstrakt
findet, die kann man dort in diesem Datenprodukt implementieren.",Vorarbeit ,"Erst wenn Qualitätskriterin hinterlegt , Definitionen der Attribute und Fachlichkeiten festgelegt worden sind und SALs existieren, kann man mit der Implementierung des Datenprodukts beginnen ",
6,Data Manager,Versicherungsfirma,Externe Firma,"Die IT ist die IT und deswegen ist es auch durchaus so ein Punkt, dass man sich als ITler
letztendlich in der Organisation auch durchboxen muss, dass man halt, weil man ja plötzlich
fachliche Fragestellungen hat, weil wir sprechen ja viel über fachliche Datenmodelle als über
technische Datenmodelle.
Die technischen Datenmodelle sind für Schnurz. Ich meine, das kann irgendwie eine
Applikation für sich selber machen, das interessiert mich fast gar nicht. Und diese Kenntnis
oder diese Erkenntnis des Unternehmens, dass halt, okay, da ist irgendwie ein ITler und der
kümmert sich jetzt plötzlich über fachliche Datenmodelle, das ist schon echt seltsam.",Pain Point,"IT-Abteilungen stoßen auf Widerstand, wenn sie fachliche Verantwortung übernehmen wollen, denn das traditionelle Rollenverständnis sieht IT nicht als Treiber fachlicher Datenmodelle, obwohl genau das für Datenprojekte entscheidend wäre",
